,id,prcp_avg,tmax_avg,tmin_avg
1,andalusia,48.11215725,276.7097136,168.627462
2,mobile,41.40025042,196.9131552,69.59228792
3,tuscaloosa,42.31466667,197.9464848,64.44910808
4,lauderdalecounty,34.12436548,143.1452736,16.53233831
5,dothan,34.01503669,289.4372652,154.3461153
6,andalusia,48.11215725,276.7097136,168.627462
7,florence,71.96836983,142.0296465,24.87333333
8,tuscumbia,66.72274326,155.6199295,34.33362218
9,tuscaloosa,36.09200385,182.31917,45.47181009
10,mobile,32.38471656,256.4148472,132.4442013
11,mobile,36.03777259,190.938732,59.93660096
12,tuscaloosa,36.09200385,182.31917,45.47181009
13,moulton,16.83716075,235.5857418,85.477842
14,montgomery,63.09587021,161.8822567,43.25368249
15,mobile,41.12552448,214.6670973,90.14347264
16,athens,23.09953344,#N/A,#N/A
17,tuscaloosa,31.11420345,204.2974806,60.59165858
