,id,prcp_avg,tmax_avg,tmin_avg
1,andalusia,56.87083154,265.1641295,152.6990856
2,mobile,52.10704372,250.0554442,134.4084633
3,tuscaloosa,45.86608376,237.2011943,104.8523091
4,lauderdalecounty,34.99879904,222.0872011,90.05485232
5,dothan,29.99397434,262.5983984,120.9931935
6,andalusia,56.87083154,265.1641295,152.6990856
7,florence,53.0193475,221.1263383,93.20729773
8,tuscumbia,51.84040646,223.9272481,95.55550582
9,tuscaloosa,28.1314695,255.9312763,112.6877045
10,mobile,34.43970775,261.8856419,140.4763194
11,mobile,43.30349265,248.1364664,123.8479517
12,tuscaloosa,28.1314695,255.9312763,112.6877045
13,moulton,32.53007519,236.1092896,99.8715847
14,montgomery,57.31510691,225.8163347,108.434168
15,mobile,53.23646773,249.9632435,134.4783868
16,athens,35.49119098,#N/A,#N/A
17,tuscaloosa,26.80917431,253.0899862,108.5219197
18,tuscaloosa,35.33276121,253.2481516,115.846901
