,id,prcp_avg,tmax_avg,tmin_avg
1,andalusia,56.95397634,265.3835046,153.0561579
2,mobile,47.5592779,247.8782683,130.1360909
3,tuscaloosa,43.03387097,234.4294872,109.8689276
4,lauderdalecounty,40.59128905,217.1402407,82.78231293
5,dothan,31.54456635,265.6332859,124.9827851
6,andalusia,56.95397634,265.3835046,153.0561579
7,florence,52.08782365,233.8706897,103.9725639
8,tuscumbia,51.90022297,234.9796168,105.0738201
9,tuscaloosa,31.58609193,243.9357213,107.6833825
10,mobile,50.08900999,259.8163704,145.3322915
11,mobile,49.75767275,247.0698031,126.3205521
12,tuscaloosa,31.58609193,243.9357213,107.6833825
13,moulton,31.6819395,225.8533698,92.53096539
14,montgomery,29.9582343,244.470807,110.3261275
15,mobile,47.5592779,247.8782683,130.1360909
16,athens,31.51016636,#N/A,#N/A
17,tuscaloosa,31.58609193,243.9357213,107.6833825
18,tuscaloosa,39.45364648,240.5394615,119.5262669
