,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00221870,427,61,17,39
2,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00225366,297,61,11,36
3,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00221111,366,#N/A,#N/A,#N/A
4,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00228062,279,#N/A,#N/A,#N/A
5,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00222046,457,#N/A,#N/A,#N/A
6,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00220021,691,56,11,33.5
7,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00220891,521,#N/A,#N/A,#N/A
8,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00224702,203,61,17,39
9,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00228374,282,61,11,36
10,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00223340,343,#N/A,#N/A,#N/A
11,2/22/1955,tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,2,22,1955,8/31/1954,USC00228189,732,#N/A,#N/A,#N/A
12,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00221870,25,261,-33,114
13,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00225366,30,272,-39,116.5
14,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00221111,0,#N/A,#N/A,#N/A
15,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00228062,25,#N/A,#N/A,#N/A
16,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00222046,10,#N/A,#N/A,#N/A
17,3/26/1955,tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,3,26,1955,9/30/1954,USC00220021,76,239,-56,91.5
