id,id2,city_county_state,latitude,longitude,elevation,month,day,year
andalusia,andalusia1,"Andalusia, Covington County, Alabama",31.41,-86.61,106,December,30,2017
mobile,mobile1,"Mobile, Mobile County, Alabama",30.70,-88.04,10,March,1,1992
tuscaloosa,tuscaloosa1,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,February,6,1975
lauderdalecounty,lauderdalecounty,"N/A, Lauderdale County, Alabama",34.87,-87.59,280,March,26,1969
dothan,dothan,"Dothan, Houston County, Alabama",31.22,-85.39,98,December,11,2011
andalusia,andalusia2,"Andalusia, Covington County, Alabama",31.41,-86.61,95,December,30,2017
florence,florence,"Florence, Lauderdale County, Alabama",34.80,-87.68,170,April,10,1973
tuscumbia,tuscumbia,"Tuscumbia, Colbert County, Alabama",34.73,-87.70,144,March,28,1973
tuscaloosa,tuscaloosa2,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,March,26,1955
mobile,mobile2,"Mobile, Mobile County, Alabama",30.70,-88.04,10,January,15,2012
mobile,mobile3,"Mobile, Mobile County, Alabama",30.70,-88.04,10,March,19,1988
tuscaloosa,tuscaloosa3,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,March,26,1955
moulton,moulton,"Moulton, Lawrence County, Alabama",34.43,-87.29,196,January,19,2000
montgomery,montgomery,"Montgomery, Montgomery County, Alabama",32.10,-86.13,187,March,18,2010
mobile,mobile4,"Mobile, Mobile County, Alabama",30.70,-88.04,10,February,29,1992
athens,athens,"Athens, Limestone County, Alabama",34.80,-86.97,214,March,19,1959
tuscaloosa,tuscaloosa4,"Tuscaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,February,22,1955
tuscaloosa,tuscaloosa5,"Tusclaloosa, Tuscaloosa County, Alabama",33.19,-87.57,68,February,7,1957
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
