,id,prcp_avg,tmax_avg,tmin_avg
1,phoenix,19.32024598,102.9723785,-14.68642746
2,carney,32.20455453,80.75065388,-20.44420227
3,carney,32.20455453,80.75065388,-20.44420227
4,carney,32.20455453,80.75065388,-20.44420227
5,accokeek,19.3576136,116.9493375,-1.158841941
6,galestown,35.06155999,104.5574297,-2.5976
7,easton,45.79544791,109.7510094,21.7294751
8,silverspring,19.60281871,104.5625774,-6.051980198
9,cockeysville,31.00637659,90.58749457,-15.27442466
10,preston,36.74591837,234.6835664,134.5008741
11,preston,33.5285137,247.3436693,146.5089744
12,snowhill,18.3915493,120.0157068,13.63799551
13,townson,24.1562228,105.9602837,3.195538681
14,waddellscorner,31.54221062,110.9358491,7.291320755
15,uppermarlboro,25.58940171,127.9136381,8.495699765
16,harmony,35.90715723,268.8980132,159.1708609
17,owingmills,21.04271091,152.9076621,27.96748612
18,eastnewmarket,30.66513761,117.9461279,9.284175084
19,collegepark,23.91159136,111.4751309,-4.635679214
20,townson,21.66247191,104.0410959,0.034381139
21,snowhill,18.3915493,120.0157068,13.63799551
22,reistertown,21.91560284,103.649815,-4.543765483
23,mandelasprings,27.4400289,123.5755452,7.833203429
24,lilypons,21.61550591,97.37940379,-10.76670058
25,townson,18.85272331,104.1274005,-10.14992861
26,newcomb,36.29444311,111.9059474,31.22130014
27,baltimorecounty,27.79707986,111.9537922,3.312340153
28,timomium,29.45866534,149.8298382,28.50501475
29,laplata,31.33413544,121.9169225,17.08302972
30,rosedale,29.74161627,119.7090465,-1.261134838
31,thumont,40.17644006,100.288674,0.681189488
32,kennedyville,26.13942308,97.10449504,-11.51955633
33,silverspring,17.95938201,109.8256496,-13.12991021
34,northbesthesda,39.03650442,105.9133159,-0.27617801
35,gaithersburg,16.89477486,111.432972,-8.329689298
