,id,prcp_avg,tmax_avg,tmin_avg
1,newark,21.80704177,179.6853389,59.97941382
2,dagsboro,24.90486541,199.0638629,90.78777259
3,elsmere,#N/A,#N/A,#N/A
4,wilmington,38.3969918,183.7471264,68.75697865
5,newcastlecounty,32.27816901,198.845234,86.47656517
6,dover,36.49590164,175.4922919,62.00204813
7,wilmington,29.2838488,171.3652738,82.86959654
8,dover,35.96355892,189.4657143,71.50620821
9,seaford,32.41329581,188.4356605,72.51967157
10,newark,22.99785144,177.4406464,69.13366491
11,newark,26.63254862,174.1685083,68.20349908
12,marydel,34.57805907,186.3775832,72.9982493
13,delawarecity,26.14031571,182.3273047,66.10446631
14,dover,35.59815479,175.8056555,62.28739754
