,id,prcp_avg,tmax_avg,tmin_avg
1,newark,19.58356164,181.0566621,63.85375901
2,dagsboro,30.67048611,208.5066354,99.07338017
3,elsmere,#N/A,#N/A,#N/A
4,wilmington,37.43312883,180.7658991,70.36957716
5,newcastlecounty,35.64195533,188.7212722,73.98013699
6,dover,29.89565217,180.8917394,66.53275333
7,wilmington,33.06268222,173.4077449,87.74809741
8,dover,29.89565217,180.8917394,66.53275333
9,seaford,29.52854123,191.8072953,75.60851648
10,newark,28.09624198,177.8449969,67.66226589
11,newark,26.15631263,173.1314073,72.9360301
12,marydel,27.04620602,188.7635135,70.45988176
13,delawarecity,32.82937203,173.7058381,62.86760281
14,dover,29.89565217,180.8917394,66.53275333
