,id,prcp_avg,tmax_avg,tmin_avg
1,tallahassee,13.77174849,227.5683391,101.1028522
2,homestead,52.640683,309.6457105,224.4970375
3,tallahassee,13.77174849,227.5683391,101.1028522
4,monticello,31.72159091,194.0228873,69.45025729
5,tallahassee,27.80519481,206.213264,75.42782835
6,tallahassee,13.77174849,227.5683391,101.1028522
7,tallahassee,13.77174849,227.5683391,101.1028522
8,plantcity,22.67820513,257.9150485,133.5489879
9,pensacola,35.27282728,245.8366667,129.1842397
10,gainesville,33.79732739,261.5235378,143.7557471
11,staugustine,20.35961872,212.5068729,99.71219931
12,tallahassee,13.77174849,227.5683391,101.1028522
13,pensacola,42.73988439,192.0023148,72.66434379
14,gainesville,29.53820034,233.7084282,87.27616927
15,marianna,25.69117647,248.7085479,115.946557
16,homestead,70.65003779,319.9392554,233.6094364
17,pensacola,37.54675325,199.5984355,80.97916667
18,gainesville,17.77792208,233.9271523,96.42384106
19,homestead,52.640683,309.6457105,224.4970375
20,pensacola,41.46861314,181.3540197,64.00140845
21,homestead,70.65003779,319.9392554,233.6094364
22,blountstown,40.39187913,239.9323308,99.28988459
23,pensacola,31.04535939,202.874256,76.33407738
24,marianna,25.69117647,248.7085479,115.946557
25,pensacola,65.15794979,280.0812236,182.2109705
26,highsprings,22.70791494,225.5427553,92.3420739
27,pensacola,55.24338624,234.9842857,133.01
28,pensacola,62.80823529,192.485242,66.57783019
29,pensacola,49.38335287,217.5334115,99.22860492
30,pensacola,55.5536105,248.063388,136.4666667
31,pensacola,51.3389392,209.7587549,93.28404669
32,milton,53.37456243,218.8498254,100.2162162
33,jacksonville,40.33362599,222.5319716,120.4214729
