,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USW00003818,0,278,161,219.5
2,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00081544,0,283,161,222
3,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00085372,0,283,156,219.5
4,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00081502,0,#N/A,#N/A,#N/A
5,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00080804,33,300,128,214
6,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00083230,0,278,144,211
7,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00089795,0,272,128,200
8,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00080804,33,300,128,214
9,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00083230,0,278,144,211
10,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00092736,0,#N/A,#N/A,#N/A
11,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00092736,0,#N/A,#N/A,#N/A
12,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00085372,0,283,156,219.5
13,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USW00003818,0,278,161,219.5
14,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00081544,0,283,161,222
15,2/9/1957,marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,2,9,1957,8/31/1956,USC00089795,0,272,128,200
