,id,prcp_avg,tmax_avg,tmin_avg
1,tallahassee,28.03757339,267.1775774,141.2271837
2,homestead,44.85456369,297.1083965,201.7211403
3,tallahassee,28.03757339,267.1775774,141.2271837
4,monticello,47.27946916,253.3548256,133.3405449
5,tallahassee,37.92341357,253.7110746,130.9824561
6,tallahassee,28.03757339,267.1775774,141.2271837
7,tallahassee,28.03757339,267.1775774,141.2271837
8,plantcity,33.91804636,290.0365599,169.1981888
9,pensacola,33.99340297,259.6861878,143.2893429
10,gainesville,37.78343313,261.2570513,141.8208092
11,staugustine,30.68579343,259.8198198,158.6210815
12,tallahassee,28.03757339,267.1775774,141.2271837
13,pensacola,45.18972116,240.2904814,123.0843836
14,gainesville,40.12630844,278.2919776,139.5166359
15,marianna,34.22733564,270.7418605,141.7421296
16,homestead,43.31378497,297.6679764,201.6572717
17,pensacola,50.24808743,253.7085399,146.0313704
18,gainesville,35.75247525,273.0832838,139.4686192
19,homestead,44.85456369,297.1083965,201.7211403
20,pensacola,35.71031097,235.7758761,115.6539088
21,homestead,43.31378497,297.6679764,201.6572717
22,blountstown,30.7856405,275.621356,130.7074919
23,pensacola,41.89538058,261.8641932,145.9614981
24,marianna,34.22733564,270.7418605,141.7421296
25,pensacola,44.61275964,256.4415648,149.195599
26,highsprings,48.25366662,271.2347041,143.5994975
27,pensacola,46.61791045,267.1085174,159.5457413
28,pensacola,58.577951,247.9538028,132.2759009
29,pensacola,58.84939759,250.2486309,136.9917853
30,pensacola,48.03280481,253.5300546,137.7868852
31,pensacola,48.69682018,257.5274123,148.6299342
32,milton,61.01727982,251.3058496,136.9692222
33,jacksonville,36.87740668,254.2416534,154.3681909
