,id,prcp_avg,tmax_avg,tmin_avg
1,tallahassee,44.5828751,264.9980346,146.7283078
2,homestead,48.70013432,296.3958511,203.2581197
3,tallahassee,44.5828751,264.9980346,146.7283078
4,monticello,36.31585127,255.7433521,132.0207419
5,tallahassee,33.60054795,264.1485746,129.1963796
6,tallahassee,44.5828751,264.9980346,146.7283078
7,tallahassee,44.5828751,264.9980346,146.7283078
8,plantcity,32.6000549,291.831898,170.452069
9,pensacola,62.19287671,255.7711306,146.863337
10,gainesville,34.53208066,276.3325472,143.6917114
11,staugustine,37.60376603,260.3408724,158.0759903
12,tallahassee,44.5828751,264.9980346,146.7283078
13,pensacola,37.68993953,248.0494777,138.465859
14,gainesville,45.90284006,267.2433012,137.6109537
15,marianna,40.57653593,265.1927711,145.1815227
16,homestead,48.70013432,296.3958511,203.2581197
17,pensacola,49.89874111,252.0269379,139.727073
18,gainesville,42.1503268,273.443299,142.8536733
19,homestead,48.70013432,296.3958511,203.2581197
20,pensacola,35.27872031,255.1608187,141.6666667
21,homestead,48.70013432,296.3958511,203.2581197
22,blountstown,42.65235174,262.0169912,122.0360807
23,pensacola,36.9048084,260.5662609,145.6430063
24,marianna,40.57653593,265.1927711,145.1815227
25,pensacola,45.5758483,257.9195856,151.0818944
26,highsprings,40.82818967,266.5941423,142.3059042
27,pensacola,36.77416357,260.2990654,139.9028037
28,pensacola,46.67724289,248.8595506,132.1168964
29,pensacola,39.70323642,267.1656577,143.2819383
30,pensacola,53.24520022,251.0615047,137.5041186
31,pensacola,44.90235875,258.5159516,146.1231446
32,milton,41.50606395,265.4914601,139.5406752
33,jacksonville,32.13902244,254.6030351,154.0315495
