id,id2,city_county_state,latitude,longitude,elevation,month,day,year
tallahassee,tallahassee1,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,14,1957
homestead,homestead1,"Homestead, Dade County, Florida",25.468721,-80.477554,1,December,2,1997
tallahassee,tallahassee2,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,14,1957
monticello,monticello,"Monticello, Jefferson County, Florida",30.545202,-83.870164,51,March,24,1958
tallahassee,tallahassee3,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,2,1967
tallahassee,tallahassee4,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,14,1957
tallahassee,tallahassee5,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,14,1957
plantcity,plantcity,"Plant City, Hillsborough County, Florida",28.018632,-82.112864,40,April,4,1989
pensacola,pensacola1,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,January,30,1975
gainesville,gainesville1,"Gainesville, Alachua County, Florida",29.651634,-82.324829,54,January,3,1967
staugustine,staugustine,"St. Augustine, St. Johns County, Florida",29.90805,-81.3189,1.5,April,14,2004
tallahassee,tallahassee6,"Tallahassee, Leon County, Florida",30.455,-84.253334,61,March,14,1957
pensacola,pensacola2,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,February,19,1977
gainesville,gainesville2,"Gainesville, Alachua, Florida",29.651634,-82.324829,54,March,3,1979
marianna,marianna1,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,February,9,1957
homestead,homestead2,"Homestead, Dade County, Florida",25.57361,-80.66972,1,November,2,1997
pensacola,pensacola3,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,March,1,1992
gainesville,gainesville3,"Gainesville, Alachua, Florida",29.60945,-82.40537,54,March,13,2002
homestead,homestead3,"Homestead, Dade County, Florida",25.57361,-80.66972,1,December,2,1997
pensacola,pensacola4,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,April,2,2001
homestead,homestead4,"Homestead, Dade County, Florida",25.57361,-80.66972,1,November,2,1997
blountstown,blountstown,"Blountstown, Calhoun County, Florida",30.3897,-85.13029,19,February,24,2008
pensacola,pensacola5,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,March,23,2011
marianna,marianna2,"Marianna, Jackson, Florida",30.7743596,-85.2268735,51,February,9,1957
pensacola,pensacola6,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,December,20,2002
highsprings,highsprings,"High Springs, Alachua County, Florida",29.82205,-82.60472,21,March,2,2013
pensacola,pensacola7,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,February,28,1999
pensacola,pensacola8,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,March,17,1996
pensacola,pensacola9,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,February,17,1990
pensacola,pensacola10,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,January,29,1989
pensacola,pensacola11,"Pensacola, Escambia County, Florida",30.433283,-87.240372,31,March,3,1986
milton,milton,"Milton, Santa Rosa County, Florida",30.641904,-87.058418,10,February,24,1990
jacksonville,jacksonville,"Jacksonville, Duval County, Florida",30.332184,-81.655647,5,February,9,2003
