,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,4/3/1929,athens,athens2,"Athens, Clarke County, Georgia",33.950001,-83.383331,194,4,3,1929,10/31/1928,USC00093712,0,#N/A,#N/A,#N/A
2,4/3/1929,athens,athens2,"Athens, Clarke County, Georgia",33.950001,-83.383331,194,4,3,1929,10/31/1928,USC00090430,0,228,100,164
3,4/3/1929,athens,athens2,"Athens, Clarke County, Georgia",33.950001,-83.383331,194,4,3,1929,10/31/1928,USC00091601,0,222,106,164
4,4/3/1929,athens,athens2,"Athens, Clarke County, Georgia",33.950001,-83.383331,194,4,3,1929,10/31/1928,USC00093899,0,233,94,163.5
5,4/2/1936,rome,rome1,"Rome, Floyd County, Georgia",34.257038,-85.164673,187,4,2,1936,10/31/1935,USC00097600,1069,178,67,122.5
6,4/2/1936,rome,rome1,"Rome, Floyd County, Georgia",34.257038,-85.164673,187,4,2,1936,10/31/1935,USC00097430,1250,#N/A,#N/A,#N/A
7,4/3/1937,milledgeville,milledgeville,"Milledgeville, Baldwin County, Georgia",33.0801429,-83.232099,101,4,3,1937,10/31/1936,USC00095874,0,272,56,164
8,4/3/1937,milledgeville,milledgeville,"Milledgeville, Baldwin County, Georgia",33.0801429,-83.232099,101,4,3,1937,10/31/1936,USC00098223,0,#N/A,#N/A,#N/A
9,4/3/1937,milledgeville,milledgeville,"Milledgeville, Baldwin County, Georgia",33.0801429,-83.232099,101,4,3,1937,10/31/1936,USC00095447,0,256,94,175
10,4/3/1937,milledgeville,milledgeville,"Milledgeville, Baldwin County, Georgia",33.0801429,-83.232099,101,4,3,1937,10/31/1936,USC00095438,0,#N/A,#N/A,#N/A
11,2/12/1938,rome,rome2,"Rome, Floyd County, Georgia",34.257038,-85.164673,187,2,12,1938,8/31/1937,USC00097600,0,256,67,161.5
12,2/12/1938,rome,rome2,"Rome, Floyd County, Georgia",34.257038,-85.164673,187,2,12,1938,8/31/1937,USC00091732,0,233,50,141.5
