,id,prcp_avg,tmax_avg,tmin_avg
1,madison,29.73321799,236.616904,110.9907961
2,darien,44.98684211,240.6335378,132.8103236
3,statesboro,32.83470734,256.727863,119.5348288
4,newton,29.90914537,256.0132979,113.6835106
5,athens,46.34730878,220.2324945,86.69836066
6,bowman,34.37507395,225.8851839,99.88103569
7,athens,57.02985075,232.1127962,103.4696395
8,gray,35.02100525,240.8280519,110.6945455
9,dalton,27.1025641,230.7576589,94.1035747
10,darien,43.64172749,251.1053045,146.5296209
11,darien,44.98684211,240.6335378,132.8103236
12,milledgeville,30.49487355,248.5302198,131.255144
13,athens,30.92998897,225.1619959,104.6415353
14,cochran,37.61829211,254.9521073,121.5139022
15,macon,35.16894977,241.7942478,106.1710817
16,cochran,50.82326675,234.6578225,112.1806452
17,cochran,50.82326675,234.6578225,112.1806452
18,quitman,33.62674095,246.1507151,117.3430456
19,quitman,33.62674095,246.1507151,117.3430456
20,quitman,33.62674095,246.1507151,117.3430456
21,statesboro,32.83470734,256.727863,119.5348288
22,colquit,48.19799366,259.5064823,128.2543253
23,athens,34.33653303,226.0028143,103.1956124
24,rome,45.9795082,230.068306,102.8032787
25,rome,26.87880104,227.6188467,97.93389592
