,id,prcp_avg,tmax_avg,tmin_avg
1,madison,35.67312349,226.4281046,112.5083799
2,darien,30.77787934,242.7118098,131.016956
3,statesboro,31.38061564,252.6530612,115.560024
4,newton,46.72431782,235.2429991,109.134598
5,athens,47.7783292,222.1816193,94.74521597
6,bowman,28.38029284,225.048671,95.328223
7,athens,53.13746439,227.9391386,106.3061798
8,gray,30.13946476,236.1303441,104.2601496
9,dalton,26.15466857,235.9031521,99.53793419
10,darien,43.69716377,251.2040977,146.4562376
11,darien,30.77787934,242.7118098,131.016956
12,milledgeville,31.43493151,237.6931507,121.7123288
13,athens,31.44047619,241.0203008,113.8569277
14,cochran,33.04896074,253.9649953,115.9498581
15,macon,36.49982351,239.7150113,105.6920045
16,cochran,33.38958026,249.6664056,110.7901331
17,cochran,33.38958026,249.6664056,110.7901331
18,quitman,35.72531993,243.5179372,115.3752084
19,quitman,35.72531993,243.5179372,115.3752084
20,quitman,35.72531993,243.5179372,115.3752084
21,statesboro,31.38061564,252.6530612,115.560024
22,colquit,41.50830946,254.0747475,113.776542
23,athens,35.33333333,219.8857404,92.33668801
24,rome,44.91385332,235.6992188,108.260274
25,rome,35.23955432,243.6136986,104.7164384
