,id,prcp_avg,tmax_avg,tmin_avg
1,fairbury,23.71545548,73.90406504,-33.04146341
2,parkridge,21.30838323,59.2005988,-29.91818182
3,momence,38.58728943,246.6144029,123.1438721
4,starkcounty,22.61840121,80.59941945,-22.2301013
5,lacon,19.06066634,81.14870181,-33.59495666
6,joilet,26.09690722,59.61825726,-40.84745763
7,champaign,18.30457746,86.0753012,-20.28313253
8,naperville,25.27935223,73.65309446,-13.62987013
9,naperville,15.00383877,40.85220729,-55.74615385
10,charleston,24.41061947,88.16233091,-19.9
11,chicago,21.61971831,90.42795233,-8.27843987
12,charleston,20.00529902,100.8163265,-10.32282004
13,chicago,25.96930764,92.96617647,10.63419913
14,dekalb,14.44661654,80.74056604,-28.08715596
15,chicago,26.44444444,66.0247678,-36.12025316
