,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00111436,0,183,11,97
2,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00114465,0,#N/A,#N/A,#N/A
3,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00111329,0,#N/A,#N/A,#N/A
4,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00113683,0,#N/A,#N/A,#N/A
5,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00118684,13,178,11,94.5
6,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00119354,0,183,6,94.5
7,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00118389,10,#N/A,#N/A,#N/A
8,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00115380,0,#N/A,#N/A,#N/A
9,4/7/1946,charleston,charleston2,"Charleston, Coles County, Illinois",39.49,-88.19,212,4,7,1946,10/31/1945,USC00116610,0,189,17,103
10,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USW00014892,0,228,167,197.5
11,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00129570,0,228,172,200
12,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USW00014881,5,228,167,197.5
13,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00111577,0,272,178,225
14,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00123213,10,233,150,191.5
15,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00116616,58,283,172,227.5
16,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00124008,18,267,172,219.5
17,6/22/1960,chicago,chicago2,"Chicago, Cook County, Illinois",41.74,-87.55,182,6,22,1960,12/31/1959,USC00126542,18,228,167,197.5
18,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00111436,20,233,156,194.5
19,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00115430,13,233,128,180.5
20,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00113683,147,#N/A,#N/A,#N/A
21,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00118684,13,250,139,194.5
22,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00119354,25,233,156,194.5
23,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00115380,53,272,156,214
24,5/10/1965,charleston,charleston1,"Charleston, Coles County, Illinois",39.49,-88.19,212,5,10,1965,11/30/1964,USC00116610,5,228,167,197.5
25,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USC00118740,0,183,50,116.5
26,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USW00014806,0,172,56,114
27,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USC00115792,0,#N/A,#N/A,#N/A
28,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USC00118684,5,183,44,113.5
29,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USC00117952,0,#N/A,#N/A,#N/A
30,5/15/1966,champaign,champaign,"Champaign, Champaign County, Illinois",40.12,-88.24,233,5,15,1966,11/30/1965,USC00113413,0,#N/A,#N/A,#N/A
