,id,prcp_avg,tmax_avg,tmin_avg
1,fairbury,25.88172729,171.0927835,57.84261168
2,parkridge,24.29644809,146.739071,53.93259972
3,momence,28.83431747,152.7185971,48.47492866
4,starkcounty,23.63533569,160.3253521,45.86873677
5,lacon,26.56983523,169.3696,45.97482014
6,joilet,26.30038184,167.0334891,48.61867089
7,champaign,25.38513246,172.6325967,55.14147688
8,naperville,23.56349206,147.8951798,40.47099237
9,naperville,25.14876033,147.5913682,34.11867525
10,charleston,20.67982799,182.0375174,57.2215103
11,chicago,23.13302961,153.9484959,50.84229717
12,charleston,31.38180611,180.9074819,63.32041969
13,chicago,26.84366577,142.1238261,55.53777165
14,dekalb,20.15957447,146.6378897,33.15130024
15,chicago,23.98623853,156.0849582,37.58461538
