,id,prcp_avg,tmax_avg,tmin_avg
1,fairbury,22.74118832,170.0106676,49.20578114
2,parkridge,24.71369863,138.474553,46.22821577
3,momence,28.80693763,156.2310217,49.78703324
4,starkcounty,26.02034884,151.5691756,42.0534188
5,lacon,29.61645102,162.5756392,42.93373926
6,joilet,28.13311688,157.5530822,39.22058824
7,champaign,23.69119421,170.0473901,48.76482759
8,naperville,28.78398896,170.3828534,58.1496732
9,naperville,29.05882353,158.2410304,44.54178145
10,charleston,26.3260102,183.4187328,62.61253431
11,chicago,27.4984011,145.6509822,48.44677935
12,charleston,29.0393401,198.3802228,71.89215686
13,chicago,20.88456284,143.5858235,54.78175559
14,dekalb,20.9673913,181.5551515,62.30475087
15,chicago,29.88888889,149.4361111,38.21008403
