,id,prcp_avg,tmax_avg,tmin_avg
1,bedford,32.997208,90.74013403,-23.70135747
2,sulivan,34.02164502,98.21290801,-7.508172363
3,richmond,34.43251534,71.00738552,-18.70066519
4,monroecounty,19.23167539,83.93767186,-19.0266055
5,southport,15.82072829,96.97486034,-3.276056338
6,decatur,14.94670689,67.00408831,-34.37745098
7,wellscounty,20.83474576,74.63931104,-34.03252033
8,southport,15.82072829,96.97486034,-3.276056338
9,rockville,29.60854342,274.2205467,139.5577465
10,bloomington,25.70782209,90.82679739,-23.82508251
11,huntington,29.77098675,74.14791667,-27.525
12,evansville,19.81993818,96.99204771,-0.142857143
13,allencounty,21.93184797,75.31088561,-25.15896488
14,morristown,41.76515987,97.83085106,-17.3511206
15,huntington,15.93589744,84.90858506,-23.81052632
16,rushville,26.19876628,65.33069481,-45.54835847
17,huntington,28.48619958,117.319802,3.21980198
18,bloomingdale,40.2881072,256.1276392,123.4648701
19,decatur,18.57261905,62.86966551,-52.34443169
20,bedford,41.65973254,99.61779661,-10.02282333
21,warsaw,19.86111111,91.45416316,-9.635828427
22,mountvernon,29.3932341,107.3177083,-0.398543184
