,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00127522,0,178,89,133.5
2,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00129040,0,189,89,139
3,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00121841,3,#N/A,#N/A,#N/A
4,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00123513,0,194,89,141.5
5,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00121882,0,222,78,150
6,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00116610,0,167,78,122.5
7,9/20/1929,bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,9,20,1929,3/31/1929,USC00112140,0,183,100,141.5
8,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00129690,0,189,39,114
9,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00121734,0,#N/A,#N/A,#N/A
10,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00123418,0,178,11,94.5
11,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00127482,0,183,33,108
12,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00127028,0,183,22,102.5
13,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00120076,0,189,22,105.5
14,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00124176,0,183,28,105.5
15,5/17/1932,warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,5,17,1932,11/30/1931,USC00129138,13,189,28,108.5
16,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00126580,33,133,56,94.5
17,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00129605,15,#N/A,#N/A,#N/A
18,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00120784,0,144,78,111
19,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00126705,46,117,61,89
20,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00122605,20,167,72,119.5
21,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00128036,18,128,61,94.5
22,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00123960,109,128,61,94.5
23,4/17/1933,bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,4,17,1933,10/31/1932,USC00127755,221,100,61,80.5
24,4/27/1935,southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00127999,30,239,139,189
25,4/27/1935,southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00123527,43,267,133,200
26,4/27/1935,southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00127999,30,239,139,189
27,4/27/1935,southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00123527,43,267,133,200
28,4/27/1935,southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00127999,30,239,139,189
29,4/27/1935,southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00123527,43,267,133,200
30,4/27/1935,southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00127999,30,239,139,189
31,4/27/1935,southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228,4,27,1935,10/31/1934,USC00123527,43,267,133,200
32,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00124176,0,233,78,155.5
33,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00129138,0,233,67,150
34,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00121734,0,#N/A,#N/A,#N/A
35,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00120831,0,250,83,166.5
36,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00125337,0,211,72,141.5
37,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00123024,0,228,100,164
38,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00123022,0,#N/A,#N/A,#N/A
39,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00129690,0,244,78,161
40,5/8/1937,huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.5,228,5,8,1937,11/30/1936,USC00122096,0,#N/A,#N/A,#N/A
