,id,prcp_avg,tmax_avg,tmin_avg
1,bedford,35.06909598,178.933271,54.12755754
2,sulivan,33.86643409,189.5471763,74.21863052
3,richmond,30.95157658,165.0946649,55.37097299
4,monroecounty,25.57390229,187.4041561,70.20780322
5,southport,17.66894665,192.852459,72.9739011
6,decatur,19.93418839,166.5883157,46.60795065
7,wellscounty,22.22035526,169.4949726,47.64118993
8,southport,17.66894665,192.852459,72.9739011
9,rockville,26.06831445,172.3829099,52.36674365
10,bloomington,27.58485016,182.8883189,57.95980899
11,huntington,26.81067344,170.4768304,50.27432808
12,evansville,20.39553265,192.748422,75.78108108
13,allencounty,23.73129728,174.1526747,52.06790367
14,morristown,32.74536628,182.2057416,60.02745098
15,huntington,26.76473829,163.7632813,45.66508876
16,rushville,31.02435265,159.530483,40.11570577
17,huntington,28.08913267,154.6242396,40.28497894
18,bloomingdale,30.09852413,174.395881,50.03756299
19,decatur,21.81166181,157.6570784,30.79124579
20,bedford,39.01505818,188.9901147,67.25604996
21,warsaw,26.45937161,179.2924639,61.48340492
22,mountvernon,38.80774032,192.126097,80.89468822
