,id,prcp_avg,tmax_avg,tmin_avg
1,bedford,33.19404476,185.0868347,57.3369119
2,sulivan,35.27805388,181.5785093,66.09114779
3,richmond,30.48921068,174.5666116,59.22240582
4,monroecounty,24.34993925,180.4926108,57.61859504
5,southport,27.55708391,173.8280605,63.4558011
6,decatur,23.81833509,156.5402535,37.2022626
7,wellscounty,26.29352735,173.4517045,53.06973435
8,southport,27.55708391,173.8280605,63.4558011
9,rockville,23.75618132,169.3091497,50.48798521
10,bloomington,31.40043964,181.501764,58.41148702
11,huntington,28.28613377,154.0930337,41.09645581
12,evansville,24.29849212,212.8449159,94.85892726
13,allencounty,28.38593103,158.8726988,43.94829612
14,morristown,34.92881689,179.8270062,57.68696069
15,huntington,21.96867168,182.9263071,52.92748249
16,rushville,34.92220114,154.8493976,38.36235389
17,huntington,27.68519805,154.092425,40.44837476
18,bloomingdale,32.98487261,169.4223546,46.34218965
19,decatur,27.79033271,148.5465798,32.34493474
20,bedford,32.01928375,201.8945512,74.96046967
21,warsaw,26.28843391,162.4017467,42.66197733
22,mountvernon,33.39144361,199.984927,86.60517647
