id,id2,city_county_state,latitude,longitude,elevation,month,day,year
bedford,bedford1,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,May,4,1951
sulivan,sulivan,"Sullivan, Sullivan County, Indiana",39.05,-87.42,161,April,17,1974
richmond,richmond,"Richmond, Wayne County, Indiana",39.83,-84.89,299,April,20,1973
monroecounty,monroecounty,"Monroe County, Indiana",39.16,-86.52,303,April,27,1960
southport,southport1,"Southport, Marion County, Indiana",39.66,-86.12,228,April,27,1935
decatur,decatur1,"Decatur, Adams County, Indiana",40.83,-84.93,244,May,1,1966
wellscounty,wellscounty,"Wells County, Indiana",40.73,-85.22,285,May,13,1900
southport,southport2,"Southport, Marion County, Indiana",39.66,-86.12,228,April,27,1935
rockville,rockville,"Rockville, Parke County, Indiana",39.76,-87.23,217,October,25,1980
bloomington,bloomington,"Bloomington, Monroe County, Indiana",39.17,-86.54,235,April,23,1961
huntington,huntington1," Huntington, Huntington County, Indiana",40.88,-85.50,228,May,8,1937
evansville,evansville,"Evansville, Vanderburgh County, Indiana",37.98,-87.55,118,April,12,1941
allencounty,allencounty,"Allen County, Indiana",41.09,-85.14,277,May,3,1942
morristown,morristown,"Morristown, Shelby County, Indiana",39.67,-85.70,254,May,7,1913
huntington,huntington2,"Huntington, Huntington County, Indiana",40.88,-85.50,228,April,28,1946
rushville,rushville,"Rushville, Rush County, Indiana ",39.61,-85.45,292,May,11,1979
huntington,huntington3,"Huntington, Huntington County, Indiana",40.88,-85.50,228,June,26,1969
bloomingdale,bloomingdale,"Bloomingdale, Parke County, Indiana",39.83,-87.25,196,September,20,1929
decatur,decatur2,"Decatur, Adams County, Indiana",40.83,-84.93,244,April,30,1905
bedford,bedford2,"Bedford, Lawrence County, Indiana",38.87,-86.51,209,April,17,1933
warsaw,warsaw,"Warsaw, Kosciusko County, Indiana",41.24,-85.85,251,May,17,1932
mountvernon,mountvernon,"Mount Vernon, Posey County, Indiana",37.93,-87.90,121,April,11,2021
