,id,prcp_avg,tmax_avg,tmin_avg
1,phoenix,22.50419385,188.238708,63.11205784
2,carney,30.27092254,174.4959592,62.79656707
3,carney,30.27092254,174.4959592,62.79656707
4,carney,30.27092254,174.4959592,62.79656707
5,accokeek,24.67022375,188.3911937,71.42672667
6,galestown,34.03967808,192.3256326,81.83929876
7,easton,47.37117663,189.2278558,94.70030581
8,silverspring,22.98828571,181.6441011,65.88407428
9,cockeysville,29.38066927,174.7403108,62.07592702
10,preston,32.0495356,191.5592308,90.04732589
11,preston,36.31799846,189.4812569,88.57799672
12,snowhill,26.25497559,198.9564297,94.05834341
13,townson,36.71588662,178.3186204,72.01775858
14,waddellscorner,31.41016548,194.4271443,89.31346883
15,uppermarlboro,35.54238127,194.2367578,78.87657336
16,harmony,35.97487644,191.3286385,86.717723
17,owingmills,27.00378975,174.8309938,55.07271364
18,eastnewmarket,31.42623547,195.288961,87.23538961
19,collegepark,34.46302414,191.9745298,75.51912568
20,townson,35.89758242,179.106979,72.04372898
21,snowhill,26.25497559,198.9564297,94.05834341
22,reistertown,36.43110098,177.2722063,65.0393958
23,mandelasprings,38.04050964,199.5434291,84.4006462
24,lilypons,35.46271486,174.4454248,61.61919555
25,townson,22.15427589,189.1858366,68.275691
26,newcomb,34.81065017,190.6183311,102.0833903
27,baltimorecounty,29.52348901,191.1899534,79.78628485
28,timomium,37.44692854,193.3152012,78.27810651
29,laplata,30.7265842,194.0274589,80.2818869
30,rosedale,34.43802619,200.192168,77.41564537
31,thumont,38.81344956,176.3664172,67.02474764
32,kennedyville,20.73859207,186.0461153,62.15732323
33,silverspring,26.72217457,181.5708227,59.43079354
34,northbesthesda,39.69112238,185.7860438,71.20447549
35,gaithersburg,21.19776952,191.0144309,66.53088926
