,id,prcp_avg,tmax_avg,tmin_avg
1,baltimorecounty,24.49868641,178.2765633,61.79836443
2,carney,28.39418293,180.0841266,69.13175376
3,carney,28.39418293,180.0841266,69.13175376
4,carney,28.39418293,180.0841266,69.13175376
5,cockeysville,26.87534671,194.4818331,77.18471105
6,owingmills,36.41634689,197.7274949,86.67112191
7,phoenix,33.15754357,187.2140108,90.48769231
8,reistertown,25.6773639,178.0997457,69.89582157
9,rosedale,28.62407656,179.4979708,67.59630607
10,timomium,30.51359786,191.3365608,89.2363425
11,townson,36.78190011,194.6576327,92.82107574
12,townson,31.98082707,199.8236622,93.81231861
13,townson,24.18726917,185.7919888,69.5575179
14,harmony,32.00691619,191.6449662,82.32611012
15,preston,32.8913153,203.9612194,81.60501931
16,preston,31.93500554,190.627027,86.54414414
17,laplata,27.83473341,184.1525646,67.27731726
18,eastnewmarket,31.97261815,193.4386082,81.74908119
19,galestown,32.31368946,203.2327073,80.01282834
20,waddellscorner,24.18726917,185.7919888,69.5575179
21,lilypons,31.98082707,199.8236622,93.81231861
22,thumont,24.39638701,183.3165739,61.97291835
23,kennedyville,25.21819672,202.4370732,83.50911458
24,ashland,24.41637412,180.4761598,58.71820087
25,gaithersburg,24.3991652,179.5902212,66.88982654
26,northbesthesda,36.57551549,182.7467309,96.08534067
27,silverspring,28.22823342,186.4314101,71.8988499
28,silverspring,30.01508071,181.2259059,64.45420136
29,accokeek,34.18298687,192.8337567,81.79276349
30,collegepark,24.49742836,208.4571573,83.77552553
31,easton,32.04328288,184.0617749,73.61255887
32,newcomb,20.25519762,184.8568199,65.36582915
33,mandelasprings,25.96381899,191.6210156,71.61780105
34,snowhill,30.10886578,193.8826641,77.55572923
35,snowhill,23.6140842,182.9620703,66.4280405
