,id,prcp_avg,tmax_avg,tmin_avg
1,Albion,22.82968237,133.8920863,27.30072091
2,Alpena,20.6218425,109.3022556,-0.482116244
3,Beaver Island,16.47501711,108.0082418,17.94214876
4,Big Rapids,22.46270331,140.8226555,22.73259053
5,Big Rapids,30.07046263,145.9191994,33.44742729
6,Charlevoix County,26.98271672,123.2926902,13.4195867
7,East Lansing,22.64034613,148.1338912,37.70510133
8,Fremont,28.04953917,138.0876225,32.44969325
9,Grand Rapids,25.38285714,139.0160686,26.97448166
10,Grand Rapids,21.56059421,139.186376,22.7613079
11,Grand Rapids,23.42239686,149.7654867,29.84219269
12,Grand Rapids,24.16549844,142.2329424,25.42180851
13,Hart,17.47368421,135.6509172,28.30379041
14,Hudsonville,22.05,157.4637483,52.09434822
15,Hudsonville,23.65965052,140.4867006,36.491794
16,Kalamazoo,27.06232742,148.1610103,40.64994073
17,Mt. Pleasant,21.74002347,125.2690289,12.47244094
18,Mt. Pleasant,21.74002347,125.2690289,12.47244094
19,Muskegon,32.15627864,142.6724891,39.68547945
20,Otsego,33.0202765,163.8532627,57.85163007
21,Richmond,19.38900273,143.5610425,42.09178082
22,Springfield,25.3787234,136.7399001,24.07090909
23,Tawas City,22.67904903,142.9166667,32.26378539
24,Williamston,29.19044006,150.2948394,39.55807264
25,Wyoming,26.85365854,129.829748,26.55316533
26,Ypsilanti,25.45954825,136.2513215,30.81861349
