,id,prcp_avg,tmax_avg,tmin_avg
1,Albion,24.88831437,148.6355052,36.64400378
2,Alpena,21.31438356,105.0862423,1.776180698
3,Charlevoix County,26.65579032,114.1542789,6.87326029
4,Beaver Island,26.25,156,106
5,Big Rapids,20.86438746,157.5697091,36.10542169
6,Big Rapids,21.73673036,138.6955246,25.6890199
7,East Lansing,23.84511952,151.9543379,41.65512737
8,Fremont,32.51557632,141.6060606,38.62356021
9,Grand Rapids,30.07654038,145.0364038,33.51181968
10,Grand Rapids,27.10942623,127.9655374,20.73524255
11,Grand Rapids,28.32345972,132.0757324,22.67201327
12,Grand Rapids,26.46133333,135.4002074,23.14566116
13,Hart,21.59681228,136.1839016,23.24902071
14,Hudsonville,27.60812149,144.9270977,49.13125287
15,Hudsonville,26.67715618,134.6615469,33.80811404
16,Kalamazoo,27.01294904,152.0721736,44.13700919
17,Mt. Pleasant,18.64682313,131.7767123,14.99589041
18,Muskegon,19.71515152,128.7314861,18.58303887
19,Otsego,34.16314566,157.4779221,49.45953003
20,Richmond,13.82699555,141.9229004,37.26143187
21,Springfield,25.53962536,155.0046277,37.39242105
22,Tawas City,23.39670659,122.491018,19.6257485
23,Williamston,31.321449,154.445301,45.25583942
24,Wyoming,23.69502156,139.5824801,31.55542922
25,Ypsilanti,21.22750424,149.8891566,32.00945744
