,id,prcp_avg,tmax_avg,tmin_avg
1,summers,13.33769634,120.4581281,3.711001642
2,stillwater,14.02971311,129.1797235,-4.884792627
3,oklahomacity,6.381699346,123.6163934,-0.483660131
4,riverbottom,17.9889043,136.4755319,3.021231423
5,hennessey,15.12354651,146.5290698,16.08139535
6,kingfisher,14.79696395,138.3099134,-3.195380173
7,oklahomacity,23.29835766,162.3159341,43.6510989
8,bristow,19.54967742,141.1790323,9.309677419
9,norman,37.58069382,151.4274406,33.83890845
10,sulphur,17.48965517,157.7401575,23.41797753
11,oklahomacity,25.22188906,118.6533149,9.867403315
12,drippingsprings,10.40017212,142.7922078,-5.426143791
13,oklahomacity,15.84126984,95.58660131,-12.9754902
14,peggs,27.80454825,133.3065015,16.34108527
15,riverbottom,17.9889043,136.4755319,3.021231423
16,shawnee,10.64293915,154.6380678,10.31696751
17,alva,15.77751196,310.4835766,163.9319227
