,id,prcp_avg,tmax_avg,tmin_avg
1,summers,17.96282818,215.9770833,86.74625
2,stillwater,25.25620975,214.4180602,84.93493151
3,oklahomacity,16.85582524,227.5523316,103.9068323
4,riverbottom,33.26326837,218.1175651,93.34186047
5,hennessey,13.40946502,231.5494126,87.09487535
6,kingfisher,24.18072845,222.7974919,90.34219114
7,oklahomacity,29.2088015,222.2479452,101.7589041
8,bristow,26.38246575,239.5369863,107.7821918
9,norman,42.21391278,217.3189469,99.79015544
10,sulphur,22.23776224,244.1729201,101.8133919
11,oklahomacity,20.45649392,220.8517241,99.49207443
12,drippingsprings,23.35364876,240.0544258,91.06658668
13,oklahomacity,20.45649392,220.8517241,99.49207443
14,peggs,29.87292381,211.6646027,89.68777969
15,riverbottom,33.26326837,218.1175651,93.34186047
16,shawnee,15.86275595,237.5947461,91.5871013
17,alva,12.89684716,226.4254646,76.64596519
