,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00331890,218,206,6,106
2,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00335297,84,161,0,80.5
3,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00332156,56,189,11,100
4,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00339312,13,78,-11,33.5
5,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00339322,89,156,-17,69.5
6,4/8/1942,coshocton,coshocton,"Coshocton, Coshocton County, Ohio",40.364235,-81.791519,301,4,8,1942,10/31/1941,USC00331202,241,211,6,108.5
7,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00333478,104,#N/A,#N/A,#N/A
8,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00333483,178,256,111,183.5
9,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00125050,264,#N/A,#N/A,#N/A
10,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00335220,302,#N/A,#N/A,#N/A
11,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00332485,203,233,172,202.5
12,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00121030,61,250,167,208.5
13,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00332928,244,244,167,205.5
14,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00127357,76,#N/A,#N/A,#N/A
15,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00331568,102,233,117,175
16,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00335185,165,#N/A,#N/A,#N/A
17,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00334238,64,#N/A,#N/A,#N/A
18,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USW00093890,160,217,89,153
19,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00332766,218,211,94,152.5
20,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00120132,114,#N/A,#N/A,#N/A
21,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00127362,81,189,78,133.5
22,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00338990,244,#N/A,#N/A,#N/A
23,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00331569,112,206,100,153
24,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00331570,160,228,111,169.5
25,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USW00003871,216,222,94,158
26,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USW00093812,84,217,122,169.5
27,5/4/1958,oxford,oxford,"Oxford, Butler County, Ohio",39.481907,-84.686424,281,5,4,1958,11/30/1957,USC00335265,61,217,100,158.5
28,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00331152,0,106,28,67
29,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00333838,0,#N/A,#N/A,#N/A
30,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00330430,0,122,22,72
31,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00336616,3,#N/A,#N/A,#N/A
32,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00338025,0,117,33,75
33,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00331642,0,#N/A,#N/A,#N/A
34,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00335199,0,#N/A,#N/A,#N/A
35,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00338240,0,#N/A,#N/A,#N/A
36,4/29/1979,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.107293,-80.841199,301,4,29,1979,10/31/1978,USC00333500,15,117,6,61.5
37,4/27/1984,ironton,ironton,"Ironton, Lawrence County, Ohio",38.602757,-82.643268,301,4,27,1984,10/31/1983,USC00333975,25,289,122,205.5
38,4/27/1984,ironton,ironton,"Ironton, Lawrence County, Ohio",38.602757,-82.643268,301,4,27,1984,10/31/1983,USC00338810,20,#N/A,#N/A,#N/A
39,4/27/1984,ironton,ironton,"Ironton, Lawrence County, Ohio",38.602757,-82.643268,301,4,27,1984,10/31/1983,USC00336781,0,300,128,214
40,4/27/1984,ironton,ironton,"Ironton, Lawrence County, Ohio",38.602757,-82.643268,301,4,27,1984,10/31/1983,USC00336786,0,#N/A,#N/A,#N/A
41,4/27/1984,ironton,ironton,"Ironton, Lawrence County, Ohio",38.602757,-82.643268,301,4,27,1984,10/31/1983,USC00333029,0,294,106,200
42,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00332651,13,133,0,66.5
43,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00335188,#N/A,#N/A,#N/A,#N/A
44,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00331515,0,167,-6,80.5
45,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00335220,3,#N/A,#N/A,#N/A
46,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00331550,0,133,-11,61
47,4/5/1990,hamilton,hamilton1,"Hamilton, Butler County, Ohio",39.368536,-84.65591,3004,4,5,1990,10/31/1989,USC00121030,5,117,-11,53
