,id,prcp_avg,tmax_avg,tmin_avg
1,summers,31.10293386,208.90242,85.92307692
2,stillwater,18.58887876,233.4190672,91.90616438
3,oklahomacity,16.18415301,232.6438356,97.24623803
4,riverbottom,29.86004646,220.9525764,94.6
5,hennessey,19.27117486,229.6877145,87.60768176
6,kingfisher,21.05108145,225.5297146,81.9470478
7,oklahomacity,29.95168642,232.5596708,112.3840878
8,bristow,22.02186987,230.5659604,95.97744361
9,norman,30.31615817,233.1063575,101.4057623
10,sulphur,31.71524288,225.4401388,97.54835165
11,oklahomacity,26.11562812,207.8210599,87.83207158
12,drippingsprings,21.67442794,229.3599767,86.29618768
13,oklahomacity,26.1212929,207.9119064,87.54920853
14,peggs,36.99787064,210.2205523,89.19373019
15,riverbottom,29.86004646,220.9525764,94.6
16,shawnee,20.00302281,228.5453287,90.4500347
17,alva,13.14114833,225.8805852,76.79194631
