"";"id";"latitude";"longitude";"elevation";"state";"name";"gsn_flag";"wmo_id";"element";"first_year";"last_year"
"1";"US10adam002";40,5093;-98,5493;601,1;"NE";"JUNIATA 6.0 SSW";"";"";"PRCP";2004;2023
"2";"US10adam003";40,4663;-98,6537;615,1;"NE";"HOLSTEIN 0.1 NW";"";"";"SNOW";2004;2010
"3";"US10adam004";40,4798;-98,4026;570;"NE";"AYR 3.5 NE";"";"";"SNWD";2004;2010
"4";"US10adam007";40,5389;-98,4713;588,9;"NE";"HASTINGS 5.4 WSW";"";"";"PRCP";2004;2019
"5";"US10adam008";40,4953;-98,2973;566,9;"NE";"GLENVIL 2.3 WSW";"";"";"SNWD";2004;2007
"6";"US10adam010";40,5532;-98,6297;622,1;"NE";"JUNIATA 6.9 WSW";"";"";"WESF";2005;2005
"7";"US10adam012";40,62;-98,39;588,9;"NE";"HASTINGS 2.3 N";"";"";"SNOW";2004;2015
"8";"US10adam015";40,6258;-98,7034;632,2;"NE";"KENESAW 2.4 W";"";"";"PRCP";2004;2021
"9";"US10adam016";40,64;-98,3949;598;"NE";"HASTINGS 3.7 N";"";"";"SNWD";2004;2006
"10";"US10adam019";40,6114;-98,5543;619;"NE";"JUNIATA 2.9 WNW";"";"";"PRCP";2004;2022
"11";"US10adam022";40,5936;-98,4299;597,1;"NE";"HASTINGS 2.2 W";"";"";"SNWD";2006;2007
"12";"US10adam024";40,3901;-98,2715;548,9;"NE";"BLUE HILL 6.3 ENE";"";"";"SNOW";2006;2016
"13";"US10adam027";40,5998;-98,4723;597,1;"NE";"JUNIATA 1.9 ENE";"";"";"PRCP";2007;2009
"14";"US10adam028";40,4653;-98,6517;616;"NE";"HOLSTEIN 0.1 ESE";"";"";"WESF";2009;2009
"15";"US10adam032";40,3571;-98,4208;616;"NE";"BLUE HILL 2.2 NE";"";"";"SNWD";2009;2009
"16";"US10adam034";40,6129;-98,6482;616;"NE";"KENESAW 0.8 SE";"";"";"SNOW";2010;2016
"17";"US10adam036";40,5609;-98,402;616;"NE";"HASTINGS 1.9 SSW";"";"";"SNOW";2010;2023
"18";"US10adam039";40,602;-98,4048;616;"NE";"HASTINGS 1.4 NW";"";"";"SNOW";2010;2012
"19";"US10adam043";40,5917;-98,5092;616;"NE";"JUNIATA 0.2 WNW";"";"";"SNOW";2010;2011
"20";"US10adam047";40,5917;-98,4287;616;"NE";"HASTINGS 2.1 W";"";"";"PRCP";2011;2013
"21";"US10adam053";40,5551;-98,3538;616;"NE";"HASTINGS 2.8 SE";"";"";"PRCP";2012;2015
"22";"US10adam056";40,58;-98,3717;616;"NE";"HASTINGS 1.0 ESE";"";"";"SNOW";2014;2023
"23";"US10adam057";40,6607;-98,5535;616;"NE";"PROSSER 2.2 SE";"";"";"SNOW";2014;2022
"24";"US10arth002";41,3955;-101,4074;1068,9;"NE";"PAXTON 18.9 N";"";"";"SNOW";2005;2009
"25";"US10bann005";41,6415;-103,9481;1375;"NE";"HARRISBURG 12.4 WNW";"";"";"PRCP";2006;2016
"26";"US10bann007";41,5037;-103,7634;1366,1;"NE";"SCOTTSBLUFF 25.5 SSW";"";"";"PRCP";2007;2023
"27";"US10bann008";41,6363;-103,6842;1288,1;"NE";"HARRISBURG 6.2 NE";"";"";"SNOW";2008;2010
"28";"US10bann009";41,6804;-103,6852;1288,1;"NE";"GERING 10.1 S";"";"";"WESF";2011;2012
"29";"US10blai003";41,7609;-100,2353;841,9;"NE";"DUNNING 8.2 WSW";"";"";"SNOW";2004;2005
"30";"US10blai005";42,0189;-100,1227;826,9;"NE";"PURDUM 7.5 ESE";"";"";"PRCP";2004;2007
"31";"US10blai006";42,0715;-100,0649;826,9;"NE";"DUNNING 16.9 N";"";"";"SNWD";2004;2006
"32";"US10blai010";41,9224;-99,7449;746,2;"NE";"BREWSTER 6.4 E";"";"";"SNOW";2006;2009
"33";"US10blai012";41,8194;-100,1071;746,2;"NE";"DUNNING 0.6 SSW";"";"";"SNOW";2013;2015
"34";"US10boon003";41,7571;-98,2343;627;"NE";"ALBION 12.9 WNW";"";"";"PRCP";2004;2005
"35";"US10boon004";41,684;-97,9872;530;"NE";"ALBION 1.0 ESE";"";"";"SNWD";2004;2006
"36";"US10boon006";41,502;-98,158;591;"NE";"CEDAR RAPIDS 4.1 SSW";"";"";"PRCP";2004;2008
"37";"US10boon007";41,8655;-98,2295;580,9;"NE";"PETERSBURG 7.9 W";"";"";"SNWD";2004;2006
"38";"US10boon009";41,6685;-97,8945;552,9;"NE";"ALBION 5.9 ESE";"";"";"SNOW";2006;2014
"39";"US10boon011";41,8518;-98,0448;613,9;"NE";"PETERSBURG 1.8 E";"";"";"PRCP";2008;2012
"40";"US10box_001";42,1911;-102,9518;1250;"NE";"ALLIANCE 7.4 NW";"";"";"SNWD";2006;2020
"41";"US10box_003";42,017;-102,9953;1236,9;"NE";"ALLIANCE 8.6 SW";"";"";"WESF";2006;2012
"42";"US10box_005";42,3195;-103,0705;1299,1;"NE";"HEMINGFORD 0.2 ESE";"";"";"SNOW";2006;2011
"43";"US10box_007";42,1675;-102,8005;1206,1;"NE";"ALLIANCE 5.9 NE";"";"";"PRCP";2007;2022
"44";"US10box_009";42,3968;-102,8848;1214;"NE";"ALLIANCE 20.3 ENE";"";"";"PRCP";2007;2018
"45";"US10box_010";42,116;-103,4295;1310,9;"NE";"ALLIANCE 29.1 W";"";"";"SNWD";2009;2009
"46";"US10box_014";42,2981;-102,8596;1310,9;"NE";"ALLIANCE 13.6 N";"";"";"SNWD";2015;2015
"47";"US10box_024";42,3263;-102,9934;1310,9;"NE";"HEMINGFORD 4.2 E";"";"";"PRCP";2014;2023
"48";"US10box_030";42,2357;-103,3072;1310,9;"NE";"HEMINGFORD 13.5 WSW";"";"";"SNOW";2014;2016
"49";"US10boyd005";42,9096;-98,8428;555;"NE";"BUTTE 0.4 ESE";"";"";"PRCP";2011;2012
"50";"US10brow001";42,5359;-99,7092;791,9;"NE";"LONG PINE 0.4 W";"";"";"WESF";2005;2005
"51";"US10brow004";42,5375;-100,1208;794,9;"NE";"JOHNSTOWN 4.0 WSW";"";"";"SNOW";2007;2012
"52";"US10brow005";42,6748;-99,7695;686,1;"NE";"LONG PINE 15.7 ESE";"";"";"WESF";2007;2012
"53";"US10brow008";42,3248;-100,061;790;"NE";"AINSWORTH 18.7 SW";"";"";"PRCP";2009;2016
"54";"US10buff001";40,7826;-99,1023;662;"NE";"KEARNEY 5.8 NNW";"";"";"PRCP";2004;2006
"55";"US10buff002";40,7062;-99,1142;694,9;"NE";"KEARNEY 1.8 WNW";"";"";"SNOW";2004;2019
"56";"US10buff003";40,9445;-98,8465;641;"NE";"RAVENNA 6.6 SE";"";"";"SNWD";2004;2006
"57";"US10buff005";40,8588;-98,9216;675,1;"NE";"GIBBON 8.6 NW";"";"";"PRCP";2004;2007
"58";"US10buff006";40,9223;-99,3868;726,9;"NE";"MILLER 0.5 SE";"";"";"SNOW";2004;2021
"59";"US10buff007";40,9903;-98,8699;633,1;"NE";"RAVENNA 3.3 SE";"";"";"SNOW";2004;2023
"60";"US10buff008";40,9593;-98,9631;626,1;"NE";"RAVENNA 5.3 SW";"";"";"SNWD";2004;2018
"61";"US10buff011";40,7725;-98,7306;618,1;"NE";"SHELTON 0.5 SSE";"";"";"PRCP";2004;2014
"62";"US10buff012";40,7494;-98,8479;630;"NE";"GIBBON 0.2 WNW";"";"";"SNWD";2004;2006
"63";"US10buff013";40,6995;-99,4062;691,9;"NE";"ELM CREEK 2.2 WSW";"";"";"WESF";2004;2011
"64";"US10buff017";40,7236;-99,1035;677;"NE";"KEARNEY 2.0 NW";"";"";"PRCP";2004;2008
"65";"US10buff018";40,665;-99,0852;677;"NE";"KEARNEY 2.4 S";"";"";"SNOW";2005;2006
"66";"US10buff019";40,9728;-98,8024;627;"NE";"RAVENNA 6.8 ESE";"";"";"WESF";2009;2009
"67";"US10buff025";40,7412;-99,1602;694,9;"NE";"KEARNEY 5.0 WNW";"";"";"SNOW";2008;2015
"68";"US10buff036";40,7853;-99,1653;694,9;"NE";"RIVERDALE 0.2 WNW";"";"";"SNOW";2014;2017
"69";"US10burt001";41,7267;-96,1557;307,8;"NE";"TEKAMAH 5.0 SE";"";"";"SNWD";2006;2006
"70";"US10burt003";41,8593;-96,4701;388;"NE";"OAKLAND 1.6 N";"";"";"SNOW";2006;2007
"71";"US10burt004";41,7859;-96,4065;417,9;"NE";"CRAIG 2.2 W";"";"";"SNWD";2006;2006
"72";"US10butl004";41,219;-97,349;480,1;"NE";"RISING CITY 3.1 WNW";"";"";"PRCP";2004;2008
"73";"US10butl005";41,185;-97,2542;484,9;"NE";"RISING CITY 2.4 ESE";"";"";"SNWD";2004;2022
"74";"US10butl008";41,158;-96,9952;490,1;"NE";"BRAINARD 1.8 SSE";"";"";"SNWD";2004;2023
"75";"US10butl010";41,2963;-97,3493;502;"NE";"RISING CITY 7.2 NNW";"";"";"SNWD";2006;2006
"76";"US10butl013";41,3565;-97,2356;434,9;"NE";"BELLWOOD 0.2 ESE";"";"";"PRCP";2008;2010
"77";"US10butl020";41,2557;-97,1301;434,9;"NE";"DAVID CITY 0.2 N";"";"";"SNOW";2015;2017
"78";"US10cass005";40,865;-96,1171;335,9;"NE";"WEEPING WATER 1.3 ESE";"";"";"PRCP";2008;2022
"79";"US10cass011";41,0289;-95,9874;321,6;"NE";"PLATTSMOUTH 3.1 WNW";"";"";"SNOW";2015;2016
"80";"US10ceda002";42,7652;-97,3027;401,1;"NE";"ST. HELENA 4.1 SW";"";"";"PRCP";2006;2023
"81";"US10ceda003";42,4974;-97,4279;530;"NE";"RANDOLPH 9.0 NNW";"";"";"SNWD";2006;2007
"82";"US10ceda005";42,8151;-97,4648;406,9;"NE";"CROFTON 6.2 NNE";"";"";"SNOW";2006;2017
"83";"US10ceda006";42,4971;-97,2691;485,9;"NE";"COLERIDGE 3.5 W";"";"";"SNWD";2006;2009
"84";"US10ceda009";42,5654;-97,1363;474,9;"NE";"COLERIDGE 5.4 NE";"";"";"SNOW";2006;2020
"85";"US10ceda011";42,8013;-97,368;392,9;"NE";"FORDYCE 7.1 N";"";"";"PRCP";2006;2013
"86";"US10ceda012";42,5044;-97,2076;488;"NE";"COLERIDGE 0.2 WSW";"";"";"SNWD";2006;2011
"87";"US10ceda014";42,3951;-97,0319;438;"NE";"LAUREL 3.9 ESE";"";"";"SNOW";2006;2007
"88";"US10ceda016";42,5973;-97,022;442,9;"NE";"HARTINGTON 12.8 E";"";"";"SNOW";2007;2011
"89";"US10ceda021";42,8092;-97,2482;465,1;"NE";"ST. HELENA 0.0 ESE";"";"";"PRCP";2013;2014
"90";"US10chas001";40,5158;-101,6451;1004;"NE";"IMPERIAL 0.1 SW";"";"";"SNOW";2004;2017
"91";"US10chas002";40,4629;-101,5907;975,1;"NE";"ENDERS 3.0 W";"";"";"SNWD";2004;2023
"92";"US10chas003";40,4085;-101,6227;1054;"NE";"IMPERIAL 7.6 S";"";"";"WESD";2018;2021
"93";"US10chas005";40,5495;-101,7773;1015,9;"NE";"IMPERIAL 7.3 WNW";"";"";"PRCP";2004;2010
"94";"US10chas006";40,4949;-101,8424;1028,1;"NE";"CHAMPION 5.2 WNW";"";"";"SNOW";2004;2014
"95";"US10chas007";40,629;-101,9119;1061;"NE";"VENANGO 11.5 SE";"";"";"SNWD";2004;2005
"96";"US10chas009";40,6615;-101,4202;958;"NE";"WAUNETA 17.0 NNW";"";"";"PRCP";2004;2015
"97";"US10chas010";40,5253;-101,6226;958;"NE";"IMPERIAL 1.3 ENE";"";"";"SNOW";2004;2006
"98";"US10chas011";40,5667;-101,7244;1014,1;"NE";"IMPERIAL 5.4 WNW";"";"";"SNWD";2004;2022
"99";"US10chas012";40,4836;-101,9051;1035,1;"NE";"CHAMPION 8.3 W";"";"";"SNWD";2004;2023
