,id,prcp_avg,tmax_avg,tmin_avg
1,glasgow,12.7504774,-7.936470588,-110.4691943
2,wallawalla,18.79783951,95.18626156,0.433575677
3,caldwell,8.370629371,87.97892272,-25.23593381
4,hastings,16.22972003,80.70116429,-40.05692109
5,corvallis,66.75809061,117.7716535,18.93437806
6,pullman,21.93129062,79.7839102,-11.76987839
7,boise,15.57762676,97.96808511,-23.28552457
8,anacortes,25.96836461,119.7964347,30.83811711
9,pocatello,5.412470024,255.5124698,64.28157683
10,cheney,19.10583942,49.05222437,-32.32817038
11,chadron,11.32562278,94.05947137,-49.11111111
12,chadron,9.298076923,67.87989556,-80.1462141
13,chadron,10.3400655,98.48020434,-61.40485313
14,mullen,6.497777778,55.76993166,-86.09111617
15,mullen,16.10800745,87.45488722,-40.4943609
16,gering,7.395294118,99.93088235,-50.26764706
17,crawford,7.706586826,46.14925373,-80.64776119
18,littlebluetownship,15.42009401,101.7782609,-35.21128799
19,browkenbow,13.09119011,78.35802469,-48.69135802
20,jerome,13.57229581,87.82314765,-24.80561555
21,neligh,16.86827458,70.33766234,-67.67865169
22,bannercounty,3.555679287,91.05138889,-78.525
23,almotacreek,19.94803267,66.3810219,-16.75420629
24,longpine,6.275974026,95.50909091,-61.66103896
25,albin,13.48709677,116.1032258,-37.03225806
26,alliance,9.632911392,92.66613924,-51.56170886
27,chadron,14.3622449,131.8800813,-15.85772358
28,chadron,10.52639752,107.9090909,-43.77892562
