,id,prcp_avg,tmax_avg,tmin_avg
1,glasgow,15.85496183,110.4496084,-13.79164491
2,wallawalla,16.12790698,169.470877,45.55417349
3,caldwell,7.546859714,186.7561024,37.85895153
4,hastings,21.35652974,156.8587849,27.81773399
5,corvallis,38.99725544,176.3353156,52.08534916
6,pullman,15.32682927,153.2313341,29.75877551
7,boise,14.05737251,177.3740209,23.60351563
8,anacortes,23.40214286,138.9490034,48.68753233
9,pocatello,6.381213307,146.7771226,-6.181746656
10,cheney,13.27290016,144.9286009,23.30867769
11,chadron,35.81161579,154.8375576,20.65967588
12,chadron,12.530131,164.0912365,6.62665066
13,chadron,10.22955784,181.1180308,13.54028436
14,mullen,13.98860399,157.5237633,8.375121477
15,mullen,16.49035813,148.2520776,10.11080332
16,gering,7.717065036,174.6659836,8.823087432
17,crawford,12.71840355,169.2339056,19.66129032
18,littlebluetownship,19.98176796,175.2969613,35.11310345
19,browkenbow,17.90376569,166.3726027,25.95616438
20,jerome,8.656584901,172.714488,26.87146226
21,neligh,16.35810811,155.1825137,-1.162735849
22,bannercounty,8.356673961,172.4904372,4.332650273
23,almotacreek,12.32604864,157.2249474,29.45935529
24,longpine,12.32377049,173.1021858,12.08797814
25,albin,9.210382514,168.7404372,0.841530055
26,alliance,9.145355191,157.6263661,-0.976775956
27,chadron,10.12778603,177.4084507,14.72805344
28,chadron,12.03556772,161.5759782,6.170154686
