,id,prcp_avg,tmax_avg,tmin_avg
1,glasgow,19.58927026,128.0541224,-0.713417722
2,wallawalla,12.56389033,166.4470426,44.49277854
3,caldwell,7.302220476,177.2565321,25.22182469
4,hastings,15.41653858,156.5493963,24.33461327
5,corvallis,33.90176211,173.2164384,48.12694064
6,pullman,10.26086957,167.4189465,37.44861338
7,boise,14.22338205,169.796748,17.20864865
8,anacortes,21.44184363,146.6343782,54.1661104
9,pocatello,5.76240719,153.6772799,-8.6244593
10,cheney,10.05939273,156.443958,32.55321945
11,chadron,13.96392617,161.6669884,11.38394584
12,chadron,15.56450288,184.4670659,27.62837163
13,chadron,9.836663771,173.9264613,8.47672956
14,mullen,12.2575897,148.3612663,1.872439479
15,mullen,18.82265552,164.1334586,22.14925373
16,gering,7.674863388,176.2786885,8.646174863
17,crawford,11.00958904,140.0849315,-9.075342466
18,littlebluetownship,18.86865342,183.771134,42.94368132
19,browkenbow,15.45861298,161.3369863,22.18356164
20,jerome,11.12019584,170.9289525,26.02641784
21,neligh,22.16286389,163.370297,16.77514793
22,bannercounty,9.3609435,163.7226027,-2.097326936
23,almotacreek,16.29085775,152.8059176,31.91139241
24,longpine,12.78574692,175.4254386,8.199013158
25,albin,10.17671233,169.4046639,9.550068587
26,alliance,8.796712329,154.0602241,0.789726027
27,chadron,10.19741379,163.1670481,7.084668192
28,chadron,10.37876712,163.2767123,2.235616438
