,id,prcp_avg,tmax_avg,tmin_avg
1,Houston,54.70535417,299.1894841,199.7544732
2,Waco,21.05419136,209.7969121,79.46603099
3,Alpine,11.70725995,181.7109375,30.59824047
4,FortWorth,16.4379085,151.4210526,28.49019608
5,Coleman,16.46705426,203.607767,55.4815534
6,SanAngelo,11.93203883,206.5570776,55.03881279
7,FortWorth,16.32907348,159.8234683,37.08497409
8,SanAngelo,20.93964232,194.0946166,42.25611746
9,Arlington,9.05248227,189.7172996,53.22679325
10,Llano,45.92654691,235.0153257,101.5536398
11,FortWorth,23.17881072,206.5088537,73.29257246
12,Brady,20.92174797,234.0605428,90.26096033
13,Abilene,13.64931993,172.9016129,41.46129032
14,CollegeStation,28.6193975,304.1449488,182.6108664
15,FortWorth,41.64252632,295.0971317,169.631201
16,SanAntonio,19.8125,230.2625,105.6875
17,Fredericksburg,17.76461538,252.496,117.1136
18,SanAntonio,#N/A,#N/A,#N/A
19,Brownwood,23.19663462,316.4360119,176.8718331
20,CollegeStation,34.59100642,188.970128,66.66998578
21,Waco,20.23170732,211.2474344,78.89816934
22,Waco,20.59090909,198.8227115,62.34878331
23,Houston,28.93582325,199.1898734,95.82718447
24,Hondo,22.63291139,209.9774648,73.2
25,Dallas,28.72381835,162.5933735,48.92670683
26,Abilene,14.70054945,169.256051,20.39745223
27,Austin,31.77575758,218.4242424,88.42424242
28,Georgetown,9.232513661,208.8465909,68.50189394
29,Burkburnett,14.90248691,172.2526818,33.78188319
30,Dallas,27.7559089,165.2150838,51.88268156
31,FortWorth,23.17881072,206.5088537,73.29257246
32,Arlington,19.6858432,193.4420655,64.69212121
33,Eden,23.63798701,226.581749,72.52281369
34,Arlington,25.25258264,180.8200456,69.53215078
35,Franklin,24.90330189,216.8045977,87.59003831
36,Rockwall,33.65024103,174.1699346,55.13084112
37,FortWorth,41.64252632,295.0971317,169.631201
38,Terrell,29.2714517,160.2020202,35.77008929
39,Austin,13.12146893,#N/A,#N/A
40,Sonora,15.93674699,196.0945946,46.72972973
41,Abilene,19.22483221,281.4801444,148.345367
42,Gunter,23.38078704,182.8054608,49.73037543
43,Abilene,12.36760692,182.3078556,31.5626327
44,Fredericksburg,17.76461538,252.496,117.1136
45,Waco,20.59090909,198.8227115,62.34878331
46,Waxahachie,27.01669034,186.7611698,71.92526401
47,Grapevine,31.58442088,172.038674,55.15248619
48,Dallas,22.50988776,165.7909091,47.14848485
49,Abilene,5.979899497,194.490566,23.58125
50,Bryan,30.14465409,167.1473354,43.21126761
51,Bryan,32.88523274,190.1398601,67.54265734
52,Alpine,9.596850394,205.0675287,61.25216138
53,Santo,24.1600736,232.2284921,103.0083179
54,Callahan,32.4853229,170.6977612,44.79570896
55,FortWorth,25.78867102,176.206191,58.85070718
56,Llano,45.92654691,235.0153257,101.5536398
57,Arlington,25.25258264,180.8200456,69.53215078
58,Austin,13.12146893,#N/A,#N/A
59,Mason,12.94814815,191.3541667,43.21527778
60,Fannin,14.22326454,202.3451178,72.16267123
61,Voca,15.63325991,168.6007905,23.76237624
62,FortWorth,27.5753367,170.6863753,48.26606684
63,Austin,40.2462845,194.3141026,74.31210191
64,Franklin,24.90330189,216.8045977,87.59003831
65,Hamilton,18.57220217,166.4980989,33.65648855
66,Vernon,7.655691964,168.587907,11.16573557
67,FortWorth,27.68671679,195.3029979,78.61563169
68,Ganado,20.57791328,192.0663755,75.76768559
69,CollegeStation,24.6937648,243.7358491,92.26037736
70,Saginaw,16.13189189,180.3401944,43.20640366
71,Denton,22.07502535,152.3739688,24.8111824
72,CollegeStation,34.59100642,188.970128,66.66998578
73,Austin,40.2462845,194.3141026,74.31210191
74,Calallen,16.92322581,250.4906004,141.1345455
75,FortWorth,23.17881072,206.5088537,73.29257246
76,Austin,13.12146893,#N/A,#N/A
77,CollegeStation,24.6937648,243.7358491,92.26037736
