,id,prcp_avg,tmax_avg,tmin_avg
1,Houston,41.95726758,252.6059226,151.7833029
2,Waco,24.57366159,252.4603175,127.0702139
3,Alpine,13.3183175,242.4238532,89.20432582
4,FortWorth,21.1557377,240.660274,120.1693989
5,Coleman,15.44758432,248.9315068,101.9242009
6,SanAngelo,11.56882255,257.0788337,110.2448759
7,FortWorth,16.55540102,246.9715466,120.256422
8,SanAngelo,15.19609375,282.0661972,118.0239437
9,Arlington,18.64774194,251.7110482,127.424457
10,Llano,42.75240715,262.8112199,140.1041852
11,FortWorth,28.28542094,242.7146764,114.4502242
12,Brady,26.4097035,261.9180479,127.1095764
13,Abilene,21.78434343,241.8237705,112.7718579
14,CollegeStation,29.13377576,255.2123336,135.4094101
15,FortWorth,32.42673522,247.2250401,120.5875
16,SanAntonio,19.8151184,272.2021858,143.9453552
17,Fredericksburg,28.25225027,246.3906465,120.9065292
18,SanAntonio,#N/A,#N/A,#N/A
19,Brownwood,21.22123317,249.557377,110.5010253
20,CollegeStation,32.80899654,238.951989,119.1931271
21,Waco,24.51660805,252.9934319,127.2199671
22,Waco,26.71105037,253.2685996,125.8397155
23,Houston,37.73379066,257.2334551,155.6282935
24,Hondo,22.28508042,274.7031464,132.9328767
25,Dallas,22.0456074,246.9835991,125.9339709
26,Abilene,17.02172373,259.8338798,113.4617486
27,Austin,29.49726776,265.2868852,133.2103825
28,Georgetown,24.22209019,266.9899175,135.5224565
29,Burkburnett,17.76528482,251.7944444,111.2738889
30,Dallas,22.25620008,244.3781321,125.2103825
31,FortWorth,28.28542094,242.7146764,114.4502242
32,Arlington,28.86080852,245.4928884,125.5403226
33,Eden,26.66741405,255.5259712,111.561082
34,Arlington,19.64163658,244.5675972,122.2462203
35,Franklin,27.0215708,256.8696445,132.8819762
36,Rockwall,31.73658676,237.7256372,117.8705
37,FortWorth,32.42673522,247.2250401,120.5875
38,Terrell,28.38758972,239.8667602,115.2448694
39,Austin,10.41611479,307.7183908,182.2413793
40,Sonora,17.49444444,260.5714286,93.52279635
41,Abilene,17.95109395,244.6212625,116.8041169
42,Gunter,18.51437066,271.2264957,132.846583
43,Abilene,17.09597156,254.0391621,107.2704918
44,Fredericksburg,28.25225027,246.3906465,120.9065292
45,Waco,26.71105037,253.2685996,125.8397155
46,Waxahachie,20.60943106,248.4853573,124.7083171
47,Grapevine,29.82973083,233.6407651,118.0479904
48,Dallas,20.7782405,245.8674863,125.9904372
49,Abilene,16.15345982,260.2821918,98.80874317
50,Bryan,32.13618369,237.97186,117.4756014
51,Bryan,32.0677496,239.366941,119.824055
52,Alpine,12.35656566,237.1894665,93.37080192
53,Santo,29.578354,245.8262911,123.2943662
54,Callahan,29.51203883,248.6804076,115.6696056
55,FortWorth,19.84173669,263.3616829,140.8271967
56,Llano,42.75240715,262.8112199,140.1041852
57,Arlington,19.64163658,244.5675972,122.2462203
58,Austin,10.41611479,307.7183908,182.2413793
59,Mason,16.15443213,256.7790323,106.2419355
60,Fannin,23.53472501,269.7643312,146.7591137
61,Voca,24.22738507,234.4448496,95.78010949
62,FortWorth,27.90480626,238.0936002,115.9974612
63,Austin,27.5428051,260.139726,132.5519126
64,Franklin,27.0215708,256.8696445,132.8819762
65,Hamilton,16.34396552,255.2901639,118.2875817
66,Vernon,19.14792604,254.4127115,103.1591567
67,FortWorth,23.04876491,246.9234275,119.0383037
68,Ganado,32.58730641,255.0936154,149.9851156
69,CollegeStation,30.83591731,270.9015639,136.8905244
70,Saginaw,17.90873121,256.5113952,125.0294608
71,Denton,27.17137097,239.6644531,114.0776166
72,CollegeStation,32.80899654,238.951989,119.1931271
73,Austin,27.5428051,260.139726,132.5519126
74,Calallen,14.6427027,277.5625845,167.5841664
75,FortWorth,28.28542094,242.7146764,114.4502242
76,Austin,10.41611479,307.7183908,182.2413793
77,CollegeStation,30.83591731,270.9015639,136.8905244
