,id,prcp_avg,tmax_avg,tmin_avg
1,Houston,37.77491172,253.9712197,150.721409
2,Waco,19.6577708,254.8615385,128.8752747
3,Alpine,15.47328671,244.963939,89.46068455
4,FortWorth,25.67403315,203.5469613,86.73480663
5,Coleman,22.28457944,251.5033429,108.9351764
6,SanAngelo,14.11706881,256.7233369,111.8649789
7,FortWorth,27.89976471,234.1824513,111.4888579
8,SanAngelo,24.43783602,267.2423237,114.5490033
9,Arlington,26.19291791,247.8926027,125.1489595
10,Llano,40.21981272,267.9635369,143.120438
11,FortWorth,26.06784347,244.959305,115.8827244
12,Brady,27.3955335,261.4986251,131.6608616
13,Abilene,12.25134374,249.2376712,109.6075342
14,CollegeStation,27.75035361,255.7083626,134.3560873
15,FortWorth,37.5389186,246.6553475,122.0386688
16,SanAntonio,20.21766849,266.9453552,134.931694
17,Fredericksburg,18.40223097,245.7835769,115.3166319
18,SanAntonio,20.08196721,350.3516484,193.9450549
19,Brownwood,20.88560411,253.0833333,111.6896787
20,CollegeStation,21.22997594,263.3549724,138.2262069
21,Waco,19.6577708,254.8615385,128.8752747
22,Waco,27.604387,259.594179,133.0779791
23,Houston,27.730352,266.5064212,160.963613
24,Hondo,15.87796797,272.1236264,127.6112637
25,Dallas,35.41547218,242.8752855,127.2643836
26,Abilene,15.582494,254.2511416,110.9524887
27,Austin,22.77808219,261.9065934,131.3922652
28,Georgetown,13.72535602,281.9011091,138.2805556
29,Burkburnett,19.44552945,247.0464735,111.0656096
30,Dallas,35.41547218,242.8752855,127.2643836
31,FortWorth,26.06784347,244.959305,115.8827244
32,Arlington,26.91266046,246.0192097,124.2861771
33,Eden,29.34460967,257.0333478,118.7754219
34,Arlington,31.07753816,238.5161821,123.1517279
35,Franklin,22.57921635,257.3685203,131.2252592
36,Rockwall,27.94622698,238.2715232,115.2961264
37,FortWorth,37.5389186,246.6553475,122.0386688
38,Terrell,28.69850746,247.9963185,117.8720663
39,Austin,33.38767123,#N/A,#N/A
40,Sonora,16.08477011,264.5217391,103.1913043
41,Abilene,17.4982862,245.3463576,116.3904699
42,Gunter,36.10090433,239.4251497,115.4678407
43,Abilene,23.32870187,250.7539027,118.318641
44,Fredericksburg,18.40223097,245.7835769,115.3166319
45,Waco,27.604387,259.594179,133.0779791
46,Waxahachie,35.01418812,242.6900515,124.7260111
47,Grapevine,24.16836498,238.7742373,120.4382632
48,Dallas,28.03200569,245.0696721,129.1502732
49,Abilene,14.61628588,249.52,106.4553991
50,Bryan,20.27319182,263.3549724,138.2262069
51,Bryan,20.27319182,263.3549724,138.2262069
52,Alpine,11.56844548,243.695682,91.08896552
53,Santo,12.88483965,251.6166386,112.1759415
54,Callahan,23.21435352,250.0032926,111.4477893
55,FortWorth,17.79699953,261.5685439,132.7605287
56,Llano,40.21981272,267.9635369,143.120438
57,Arlington,31.07753816,238.5161821,123.1517279
58,Austin,33.38767123,#N/A,#N/A
59,Mason,21.51396648,261.3192869,113.1458671
60,Fannin,23.84243864,266.4825125,145.7625637
61,Voca,14.52141527,259.2408425,114.9303391
62,FortWorth,25.48675009,240.8080419,116.9559107
63,Austin,25.90593607,257.6383562,129.0934066
64,Franklin,22.57921635,257.3685203,131.2252592
65,Hamilton,14.00118554,244.7402191,100.9
66,Vernon,13.24756189,261.4712879,103.8471652
67,FortWorth,21.90540541,241.5294655,120.5436272
68,Ganado,44.50667881,255.0031847,152.7915194
69,CollegeStation,22.67566699,273.9925857,127.2857143
70,Saginaw,26.09001113,245.2022303,117.4662651
71,Denton,24.37835498,240.3448948,116.6586314
72,CollegeStation,21.22997594,263.3549724,138.2262069
73,Austin,25.90593607,257.6383562,129.0934066
74,Calallen,32.72543353,270.2955766,164.1217703
75,FortWorth,26.06784347,244.959305,115.8827244
76,Austin,33.38767123,#N/A,#N/A
77,CollegeStation,22.67566699,273.9925857,127.2857143
