id,id2,city_county_state,latitude,longitude,elevation,month,day,year
Abilene,Abilene1,"Abilene, Texas",32.45,-99.73,524,March,3,1970
Abilene,Abilene2,"Abilene, Texas",32.45,-99.73,524,April,4,1964
Abilene,Abilene3,"Abilene, Texas",32.45,-99.73,524,December,22,2001
Abilene,Abilene4,"Abilene, Texas",32.45,-99.73,524,April ,5,1990
Abilene,Abilene5,"Abilene, Texas",32.45,-99.73,524,April,8,1946
Alpine,Alpine1,"Alpine, Texas",30.36,-103.66,1364,March,19,2015
Alpine,Alpine2,"Alpine, Texas",30.36,-103.66,1364,February,20,1950
Arlington,Arlington1,"Arlington, Texas",32.74,-97.11,183,March ,19,1971
Arlington,Arlington2,"Arlington, Texas",32.74,-97.11,183,March,7,1974
Arlington,Arlington3,"Arlington, Texas",32.74,-97.11,183,February,22,1973
Arlington,Arlington5,"Arlington, Texas",32.74,-97.11,183,February,22,1973
Austin,Austin1,"Austin, Texas",30.27,30.27,149,February,11,1975
Austin,Austin2,"Austin, Texas",30.27,30.27,149,February,23,1957
Austin,Austin3,"Austin, Texas",30.27,30.27,149,February,23,1957
Austin,Austin5,"Austin, Texas",30.27,30.27,149,March,5,1961
Austin,Austin6,"Austin, Texas",30.27,30.27,149,March,5,1961
Austin,Austin7,"Austin, Texas",30.28,-97.74,149,February,23,1957
Brady,Brady1,"Brady, Texas",31.14,-99.33,505,February,8,2016
Brownwood,Brownwood,"Brownwood, Texas",31.71,-98.99,414,November ,14,1964
Bryan,Bryan1,"Bryan, Texas",30.67,-96.37,113,March ,8,1977
Bryan,Bryan3,"Bryan, Texas",30.67,-96.37,113,February,25,1977
Burkburnett,Burkburnett,"Burkburnett, Texas",34.1,-98.57,322,March ,18,1944
Calallen,Calallen,"Calallen, Texas",27.87,-97.62,22,February,3,1997
Callahan,Callahan,"Callahan, Texas",32.24,-99.57,610,March,31,2019
Coleman,Coleman1,"Coleman, Texas",31.83,-99.43,518,February,18,1994
CollegeStation,CollegeStation1,"College Station, Texas",30.63,-96.33,102,November,18,1975
CollegeStation,CollegeStation2,"College Station, Texas",30.63,-96.33,102,February,22,1977
CollegeStation,CollegeStation3,"College Station, Texas",30.63,-96.33,102,February,25,2008
CollegeStation,CollegeStation4,"College Station, Texas",30.63,-96.33,102,February,22,1977
CollegeStation,CollegeStation5,"College Station, Texas",30.63,-96.33,102,February,25,2008
Dallas,Dallas1,"Dallas, Texas",32.78,-96.81,128,March ,14,1973
Dallas,Dallas3,"Dallas, Texas",32.78,-96.81,128,March ,27,1973
Dallas,Dallas6,"Dallas, Texas",32.78,-96.81,128,April ,12,1944
Denton,Denton,"Denton, Texas",33.21,-97.13,200,April,4,1970
Eden,Eden,"Eden, Texas",31.21,-99.85,622,February,10,2016
Fannin,Fannin,"Fannin, Texas",28.7,-97.24,42,April ,5,1978
FortWorth,FortWorth1,"Fort Worth, Texas",32.73,-97.32,198,April,1,1926
