,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,4/1/1926,FortWorth,FortWorth1,"Fort Worth, Texas",32.73,-97.32,198,4,1,1926,10/31/1925,USC00419532,0,206,39,122.5
2,3/7/1932,SanAntonio,SanAntonio1,"San Antonio, Texas",29.18,-98.48,208,3,7,1932,9/30/1931,USC00417628,0,#N/A,#N/A,#N/A
3,3/7/1932,SanAntonio,SanAntonio1,"San Antonio, Texas",29.18,-98.48,208,3,7,1932,9/30/1931,USC00413201,0,#N/A,#N/A,#N/A
4,3/7/1932,SanAntonio,SanAntonio1,"San Antonio, Texas",29.18,-98.48,208,3,7,1932,9/30/1931,USC00417948,0,172,39,105.5
5,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00413415,0,278,106,192
6,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00417028,0,#N/A,#N/A,#N/A
7,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00412404,0,267,117,192
8,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00418274,0,178,94,136
9,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00415766,0,256,167,211.5
10,4/2/1935,Gunter,Gunter1,"Gunter, Texas",33.45,-96.75,214,4,2,1935,10/31/1934,USC00412397,0,#N/A,#N/A,#N/A
11,3/18/1944,Burkburnett,Burkburnett,"Burkburnett, Texas",34.1,-98.57,322,3,18,1944,9/30/1943,USC00414093,0,200,44,122
12,3/18/1944,Burkburnett,Burkburnett,"Burkburnett, Texas",34.1,-98.57,322,3,18,1944,9/30/1943,USC00412633,0,#N/A,#N/A,#N/A
13,3/18/1944,Burkburnett,Burkburnett,"Burkburnett, Texas",34.1,-98.57,322,3,18,1944,9/30/1943,USW00013966,10,211,33,122
