,id,prcp_avg,tmax_avg,tmin_avg
1,eureka,23.44605475,108.8585859,-15.15086646
2,cache,17.25071551,62.15188406,-53.01506373
3,eureka,17.96158612,108.7861866,-24.64757709
4,millcreek,15.84626136,74.0863616,-42.06840099
5,herriman,30.49926281,85.68193384,-25.81494058
6,saltlakecity,#N/A,#N/A,#N/A
7,saltlakecity,29.69915181,84.06558603,-30.42597208
8,saltlakecity,#N/A,#N/A,#N/A
9,northlogan,10.63736903,48.61698337,-80.00416171
10,eureka,17.96158612,108.7861866,-24.64757709
11,murray,20.27015559,54.85193519,-73.38097385
12,tooele,10.1077044,68.91139241,-43.89110708
13,springville,14.96815416,108.9460396,-10.58795837
14,northlogan,28.60169768,45.82711556,-52.68087035
15,moab,11.04,291.7937888,110.3002481
16,provo,18.8802454,109.6211078,-29.09087927
17,pleasantgrove,28.00891742,62.32883609,-40.54250604
18,provo,14.8,80.38209332,-58.36034048
19,saltlakecity,29.33613887,83.27045455,-31.23952549
20,provo,17.52621929,88.58426966,-40.11725888
21,springville,16.05067155,81.72226999,-56.77695473
22,fallon,6.988321168,134.8076923,-13.35373134
23,welcome,11.0937799,92.49361208,-47.99883721
