,id,prcp_avg,tmax_avg,tmin_avg
1,eureka,14.57457752,163.9770326,21.18819188
2,cache,10.79964939,161.3843028,9.941310397
3,eureka,14.00752315,188.6344998,33.98375132
4,millcreek,11.76313656,167.4130043,19.91072752
5,herriman,22.53452829,170.4982956,36.22104365
6,saltlakecity,#N/A,#N/A,#N/A
7,saltlakecity,21.96053711,169.3137909,30.032265
8,saltlakecity,#N/A,#N/A,#N/A
9,northlogan,11.94625138,148.2797619,-3.495178673
10,eureka,14.00752315,188.6344998,33.98375132
11,murray,15.75801702,137.2429354,-8.612347295
12,tooele,8.547770701,163.3163681,27.98000816
13,springville,14.05714004,141.4376103,15.50305954
14,northlogan,23.27125506,141.5591555,17.11050876
15,moab,11.98968589,208.295594,44.80479643
16,provo,14.67912357,162.5067894,6.90445283
17,pleasantgrove,22.72766955,144.973793,22.41236145
18,provo,13.37353434,155.7849238,0.459580599
19,saltlakecity,21.65460649,169.7572074,30.26693913
20,provo,14.440527,172.9108264,18.3435859
21,springville,12.27269948,167.2432432,6.141501976
22,fallon,5.726525017,210.1422652,40.61415684
23,welcome,8.819197562,158.6546717,-10.13656388
