,id,prcp_avg,tmax_avg,tmin_avg
1,eureka,14.3501462,161.043558,17.21777164
2,cache,12.96829971,160.6394673,13.50483793
3,eureka,11.96884016,184.1057863,21.23358182
4,millcreek,14.21019664,164.746851,20.36479147
5,herriman,23.7609242,163.9993726,31.44472393
6,saltlakecity,#N/A,#N/A,#N/A
7,saltlakecity,23.57673741,164.5417079,25.99417582
8,saltlakecity,#N/A,#N/A,#N/A
9,northlogan,12.46280057,143.4363376,-9.792084887
10,eureka,11.96884016,184.1057863,21.23358182
11,murray,15.01470588,150.9770038,3.961633943
12,tooele,6.85532646,169.8191153,31.99721116
13,springville,9.964136861,147.8209722,16.92904074
14,northlogan,23.67713072,139.4067046,15.09389474
15,moab,11.22143865,207.2219731,43.87556054
16,provo,14.2979351,162.2814228,6.355219862
17,pleasantgrove,22.70820491,146.1376925,21.98818316
18,provo,10.86985764,168.9912964,4.224648748
19,saltlakecity,23.57673741,164.5417079,25.99417582
20,provo,14.89223897,162.2735873,12.06882693
21,springville,12.27176099,160.3243136,0.209072978
22,fallon,4.397192982,196.6409348,26.64305949
23,welcome,13.14809591,154.9545719,-6.054906542
