"";"id";"latitude";"longitude";"elevation";"state";"name";"gsn_flag";"wmo_id";"element";"first_year";"last_year"
"1";"US1AZAP0002";32,3471;-110,9996;748,9;"AZ";"TUCSON 9.9 NNW";"";"";"PRCP";2010;2017
"2";"US1AZAP0002";32,3471;-110,9996;748,9;"AZ";"TUCSON 9.9 NNW";"";"";"SNWD";2013;2013
"3";"US1AZAP0003";36,3047;-109,2233;2141,8;"AZ";"TSAILE 0.5 WNW";"";"";"SNOW";2011;2023
"4";"US1AZAP0003";36,3047;-109,2233;2141,8;"AZ";"TSAILE 0.5 WNW";"";"";"DAPR";2011;2018
"5";"US1AZAP0003";36,3047;-109,2233;2141,8;"AZ";"TSAILE 0.5 WNW";"";"";"WESD";2011;2023
"6";"US1AZAP0004";36,2949;-109,222;2147;"AZ";"TSAILE 0.7 S";"";"";"PRCP";2015;2020
"7";"US1AZAP0007";33,9417;-109,2412;2432,3;"AZ";"NUTRIOSO 1.9 WSW";"";"";"PRCP";2016;2023
"8";"US1AZAP0007";33,9417;-109,2412;2432,3;"AZ";"NUTRIOSO 1.9 WSW";"";"";"SNWD";2016;2023
"9";"US1AZAP0007";33,9417;-109,2412;2432,3;"AZ";"NUTRIOSO 1.9 WSW";"";"";"MDPR";2016;2018
"10";"US1AZAP0007";33,9417;-109,2412;2432,3;"AZ";"NUTRIOSO 1.9 WSW";"";"";"WESF";2017;2021
"11";"US1AZAP0010";33,8499;-109,1034;2502,1;"AZ";"ALPINE 2.5 E";"";"";"PRCP";2016;2020
"12";"US1AZAP0010";33,8499;-109,1034;2502,1;"AZ";"ALPINE 2.5 E";"";"";"SNWD";2016;2019
"13";"US1AZAP0010";33,8499;-109,1034;2502,1;"AZ";"ALPINE 2.5 E";"";"";"MDPR";2016;2019
"14";"US1AZAP0010";33,8499;-109,1034;2502,1;"AZ";"ALPINE 2.5 E";"";"";"WESF";2016;2018
"15";"US1AZAP0013";34,4341;-109,2617;1956,8;"AZ";"ST. JOHNS 7.3 SE";"";"";"SNOW";2016;2022
"16";"US1AZAP0013";34,4341;-109,2617;1956,8;"AZ";"ST. JOHNS 7.3 SE";"";"";"DAPR";2016;2022
"17";"US1AZAP0013";34,4341;-109,2617;1956,8;"AZ";"ST. JOHNS 7.3 SE";"";"";"WESD";2017;2022
"18";"US1AZAP0014";34,13;-109,3077;2146,7;"AZ";"SPRINGERVILLE 1.6 W";"";"";"PRCP";2016;2022
"19";"US1AZAP0014";34,13;-109,3077;2146,7;"AZ";"SPRINGERVILLE 1.6 W";"";"";"SNWD";2016;2022
"20";"US1AZAP0014";34,13;-109,3077;2146,7;"AZ";"SPRINGERVILLE 1.6 W";"";"";"MDPR";2016;2022
"21";"US1AZAP0014";34,13;-109,3077;2146,7;"AZ";"SPRINGERVILLE 1.6 W";"";"";"WESF";2016;2022
"22";"US1AZAP0018";36,1603;-109,5831;1676,1;"AZ";"CHINLE 1.8 WNW";"";"";"SNOW";2018;2020
"23";"US1AZAP0021";34,5857;-109,647;1704,1;"AZ";"CONCHO 8.0 NNW";"";"";"SNOW";2019;2021
"24";"US1AZAP0021";34,5857;-109,647;1704,1;"AZ";"CONCHO 8.0 NNW";"";"";"DAPR";2019;2020
"25";"US1AZAP0021";34,5857;-109,647;1704,1;"AZ";"CONCHO 8.0 NNW";"";"";"WESD";2020;2021
"26";"US1AZAP0022";33,9471;-109,2448;2408,2;"AZ";"NUTRIOSO 2.1 W";"";"";"PRCP";2019;2023
"27";"US1AZAP0022";33,9471;-109,2448;2408,2;"AZ";"NUTRIOSO 2.1 W";"";"";"SNWD";2019;2022
"28";"US1AZAP0022";33,9471;-109,2448;2408,2;"AZ";"NUTRIOSO 2.1 W";"";"";"MDPR";2019;2021
"29";"US1AZAP0022";33,9471;-109,2448;2408,2;"AZ";"NUTRIOSO 2.1 W";"";"";"WESF";2019;2023
"30";"US1AZAP0028";34,4078;-109,4032;1809,3;"AZ";"ST JOHNS 3.5 SSW";"";"";"SNOW";2019;2023
"31";"US1AZCH0002";31,4527;-110,1435;1314;"AZ";"HEREFORD 2.8 NW";"";"";"PRCP";2009;2022
"32";"US1AZCH0002";31,4527;-110,1435;1314;"AZ";"HEREFORD 2.8 NW";"";"";"SNWD";2009;2009
"33";"US1AZCH0002";31,4527;-110,1435;1314;"AZ";"HEREFORD 2.8 NW";"";"";"MDPR";2010;2019
"34";"US1AZCH0002";31,4527;-110,1435;1314;"AZ";"HEREFORD 2.8 NW";"";"";"WESF";2009;2009
