,id,prcp_avg,tmax_avg,tmin_avg
1,richmond,27.28862974,113.6786127,-3.449074074
2,norfolk,30.82039801,146.8171182,39.84138786
3,richmond,24.51120598,154.5283505,31.94967742
4,richmond,24.48709677,141.833871,10.79193548
5,middlesexcounty,25.35203095,164.7723577,33.99797571
6,richmond,39.45075319,90.202781,-13.47624565
7,richmond,24.43445693,162.6376404,39.04494382
8,richmond,23.42127072,130.5745856,18.00552486
9,richmond,21.21386139,123.5971429,11.65428571
10,richmond,26.30519481,156.6396104,36.5487013
11,richmond,25.7345679,137.2063953,20.48255814
12,suffolkcity,37.84519104,123.266612,21.83374283
13,richmond,36.23653643,102.0380148,-6.179514256
14,hopewell,33.66493506,119.8019802,0.423558897
15,richmond,32.11839323,126.3940887,17.89655172
16,richmond,24.07588358,130.184379,9.774647887
17,charoltesville,29.09667674,119.576087,-7.677544678
18,radford,16.71747212,99.50234302,-32.88151659
19,williamsburg,54.33129904,265.7470542,147.0597484
20,alexandria,30.32797567,123.1978582,4.726391016
21,fredericksburg,23.30258065,103.5330688,-13.19615639
22,radford,33.19456845,85.86818182,-38.58485401
23,hopewell,17.82096774,155.91939,26.37004405
24,williamsburg,21.03644915,133.195,17.64928571
25,harrisonburg,13.34683281,116.0547945,-15.74221669
26,suffolkcity,24.52981427,143.9822134,30.88581315
27,fredericksburg,25.02071006,146.9924585,17.13122172
28,richmond,27.28862974,113.6786127,-3.449074074
29,harrisonburg,28.01910112,110.0376506,-9.438253012
30,pocomokecity,24.41212871,140.9073634,30.36698337
31,roanokecounty,37.95963913,143.0817996,21.77607362
32,williamsburg,39.22701149,155.4467382,38.60050251
33,winchester,16.49903661,107.9376947,-25.02777778
34,alexandriacity,27.52320291,109.0451128,-1.500804721
35,harrisonburg,28.01910112,110.0376506,-9.438253012
36,winchester,34.02628121,221.3856305,95.51906158
37,emporia,30.8261563,150.2752941,16.70765661
38,lynchburg,43.00279174,106.4711934,1.158762887
39,norfolk,30.82039801,146.8171182,39.84138786
40,norfolk,30.82039801,146.8171182,39.84138786
41,accomac,20.07001795,100.1826923,7.859375
42,norfolk,29.6600388,126.158046,40.54310345
43,harrisonburg,39.18383312,81.76575121,-30.61550889
44,lynchburg,39.91640043,116.7026532,-0.569469835
45,winchester,21.76934307,91.03846154,-26.24060823
46,harrisonburg,24.48679679,87.04006163,-27.22635659
47,lynchburg,43.00279174,106.4711934,1.158762887
48,leesburg,18.58116232,90.9127378,-12.36484245
49,lynchburg,20.87335935,103.9181709,-5.712740385
50,norfolk,29.83151892,103.4928968,8.550742574
51,richmond,38.7991453,123.7269807,1.397435897
52,reston,31.66850956,94.2806532,-12.85077519
53,harrisonburg,38.4071511,82.85264664,-31.06866953
54,norfolk,29.83151892,103.4928968,8.550742574
55,staunton,32.56379635,199.6406685,63.51810585
56,charoltesville,33.34776335,88.46633416,-20.9501868
57,harrisonburg,16.84132841,114.5333333,-19.05507246
58,norfolk,40.8935587,120.0320442,25.81049724
59,fredericksburg,38.07789142,105.0458937,-10.92332526
60,harrisonburg,13.34881321,116.3477723,-15.18440594
61,norfolk,25.70088496,140.9162562,37.61677632
62,winchester,35.30664466,100.2122483,-13.39597315
63,virginiabeach,39.16407599,116.1783394,26.64548736
64,exmore,31.68085106,264.7294833,166.100304
65,williamsburg,31.46337818,172.5576369,58.46685879
66,harrisonburg,38.86961451,83.26019691,-30.05907173
67,newportnews,39.45040369,126.65,19.75419355
68,franlkin,30.98976109,158.5732484,24.50955414
69,charoltesville,23.81869254,115.8600183,-14.86813187
70,norfolk,19.17957406,116.2387415,20.02899445
71,hampton,#N/A,#N/A,#N/A
72,virginiabeach,18.64090177,122.5003305,29.09980172
73,harrisonburg,18.38469285,106.4780564,-22.31347962
