id,id2,city_county_state,latitude,longitude,elevation,month,day,year
fredericksburg,fredericksburg3," Fredericksburg, Caroline County, Virginia",38.171797,-77.191088,506,April,30,1978
richmond,richmond1," Richmond, New Kent County, Virginia",37.54129,-77.434769,50.7,May,9,1970
winchester,winchester1," Winchester, Loudon County, Virginia",39.111217,-77.833884,301,May,30,1904
accomac,accomac,"Accomac, Accomack County, Virginia",37.807972,-75.594222,301,April,3,2011
alexandriacity,alexandriacity,"Alexandria City, N/A, Virginia",38.82045,-77.050552,85,April,6,1972
alexandria,alexandria1,"Alexandria, Arlington County, Virginia",38.82045,-77.050552,54,April,24,1939
charoltesville,charoltesville1,"Charlotesville, Goochland County, Virginia",38.033554,-78.50798,149,April,29,1971
charoltesville,charoltesville2,"Charlottesville, Madison County, Virginia",38.280965,-78.140835,301,May,3,1978
charoltesville,charoltesville3,"Charlottesville, Orange County, Virginia",38.033554,-78.50798,149,May,1,1971
emporia,emporia,"Emporia, Southampton County, Virginia",36.583207,-77.199968,1705,March,31,1979
exmore,exmore,"Exmore, Northamptom County, Virginia",37.352637,-75.945765,986,October,11,1935
franlkin,franlkin,"Franklin, Southampton County, Virginia",36.716261,-77.06802,2069,April,6,1939
fredericksburg,fredericksburg1,"Fredericksburg, Norfolk County, Virginia",38.309875,-77.466316,41,April,9,1969
fredericksburg,fredericksburg2,"Fredericksburg, Westmoreland County, Virginia",38.309875,-77.466316,77,May,11,1999
hampton,hampton,"Hampton , N/A, Virginia",37.005608,-76.304864,301,April,7,1887
harrisonburg,harrisonburg1,"Harrisonburg, Page County, Virginia",38.449569,-78.868916,404,April,12,2002
harrisonburg,harrisonburg2,"Harrisonburg, Rockham County, Virginia",38.449569,-78.868916,404,April,2,1962
harrisonburg,harrisonburg2,"Harrisonburg, Rockingham County, Virginia",38.4333,-78.8667,301,March,22,1983
harrisonburg,harrisonburg3,"Harrisonburg, Rockingham County, Virginia",38.378572,-78.969529,2380,May,2,1984
harrisonburg,harrisonburg4,"Harrisonburg, Rockingham County, Virginia",38.4333,-78.8667,301,April,23,1980
harrisonburg,harrisonburg5,"Harrisonburg, Rockingham County, Virginia",38.486234,-78.959752,301,April,22,1984
harrisonburg,harrisonburg6,"Harrisonburg, Rockingham County, Virginia",38.4333,-78.8667,301,April,20,1976
harrisonburg,harrisonburg7,"Harrisonburg, Rockingham County, Virginia",38.4333,-78.8667,301,April,13,2002
harrisonburg,harrisonburg8,"Harrisonburg, Rockingham County, Virginia",38.403968,-78.856954,301,April,25,1984
harrisonburg,harrisonburg9,"Harrisonburg, Rockingham County, Virginia",38.4333,-78.8667,301,April,7,1976
richmond,richmond15,harrisonburg4,37.958745,-76.758014,301,May,4,1979
hopewell,hopewell1,"Hopewell, Charles City County, Virginia",37.304315,-77.2872,15,April,17,1978
hopewell,hopewell2,"Hopewell, Fanquier County, Virginia",37.304315,-77.2872,15,May,9,1930
leesburg,leesburg,"Leesburg, Loudoun County, Virginia",39.1055,-77.5547,104,April,24,1969
lynchburg,lynchburg4,"Lynchburg, Accomack County, Virginia",37.9436527,-75.540227,301,April,3,2011
lynchburg,lynchburg1,"Lynchburg, Campbell County, Virginia",37.233756,-79.289469,301,April,10,1984
lynchburg,lynchburg3,"Lynchburg, Campbell County, Virginia",37.233756,-79.289469,301,April,10,1984
lynchburg,lynchburg2,"Lynchburg, Charlotte County, Virginia",37.040429,-78.483328,1574,April,21,1979
