,id,prcp_avg,tmax_avg,tmin_avg
1,richmond,33.82653061,200.1269549,82.96826127
2,norfolk,34.7919744,204.533272,103.5095326
3,richmond,37.3673281,209.8745142,93.11555556
4,richmond,21.5582878,221.4678962,86.2670765
5,middlesexcounty,34.50963391,223.1897074,97.04527163
6,richmond,33.35456674,200.3316159,80.60234192
7,richmond,30.92044403,226.1584699,101.6229508
8,richmond,31.97506925,200.5837887,90.44789762
9,richmond,20.25142315,209.818306,86.55129959
10,richmond,32.44125809,226.2718579,102.2445355
11,richmond,21.91698113,207.2718579,85.36525308
12,suffolkcity,34.4145937,202.0062262,100.5112263
13,richmond,32.32693208,200.3555035,80.8824356
14,hopewell,33.97783461,225.2789661,93.90467626
15,richmond,39.22072491,199.1084205,89.12823335
16,richmond,22.71348884,212.4595268,91.89352428
17,charoltesville,26.55522324,198.4047337,68.44830308
18,radford,23.91943755,177.2228752,39.15363636
19,williamsburg,41.83096879,214.7036638,88.49604885
20,alexandria,31.83782627,193.4502406,74.90600456
21,fredericksburg,25.10894942,194.9913329,65.92153339
22,radford,34.89617769,157.9964429,31.8412132
23,hopewell,25.96597222,210.3796204,88.39178357
24,williamsburg,27.70913277,206.2984981,92.31550969
25,harrisonburg,20.14345599,182.2398442,51.12736374
26,suffolkcity,30.96120592,213.3692839,99.40198618
27,fredericksburg,20.89446953,223.7940333,97.16924842
28,richmond,33.82653061,200.1269549,82.96826127
29,harrisonburg,29.5017199,176.4005622,49.64175978
30,pocomokecity,33.4372093,195.9160045,85.67480136
31,roanokecounty,29.94348947,188.8126432,61.75034356
32,williamsburg,36.25068681,207.5128205,92.92
33,winchester,24.02247191,177.0436681,38.5261708
34,alexandriacity,35.2636445,194.2183881,77.37682684
35,harrisonburg,29.5017199,176.4005622,49.64175978
36,winchester,35.49278034,172.5468268,56.5077187
37,emporia,33.95173454,222.5673684,87.78705637
38,lynchburg,34.28612266,186.194227,72.82606565
39,norfolk,34.7919744,204.533272,103.5095326
40,norfolk,34.7919744,204.533272,103.5095326
41,accomac,24.00776144,197.6814778,99.28357464
42,norfolk,28.52832198,199.4272841,106.5101377
43,harrisonburg,34.02011173,167.0335196,38.28212291
44,lynchburg,35.02807775,195.0730612,75.91990192
45,winchester,28.48371947,173.2683314,55.48229208
46,harrisonburg,36.26598985,166.0547264,48.60727014
47,lynchburg,34.28612266,186.194227,72.82606565
48,leesburg,24.60205808,174.1662884,60.23928645
49,lynchburg,26.81921331,198.5702525,82.89577619
50,norfolk,33.88511691,191.1765339,97.27875034
51,richmond,33.7773224,201.8326493,80.17403189
52,reston,29.98087936,191.4614076,74.68394791
53,harrisonburg,34.10033445,167.1564246,38.40642458
54,norfolk,33.88511691,191.1765339,97.27875034
55,staunton,32.52522255,146.8355795,23.8638814
56,charoltesville,29.17195686,181.3277538,64.27928416
57,harrisonburg,29.12221231,181.566232,52.43131868
58,norfolk,32.55328434,200.8490409,100.1082287
59,fredericksburg,32.14849551,193.9352404,67.84265176
60,harrisonburg,20.02841174,182.1814135,51.01946607
61,norfolk,38.98469821,199.2733136,97.42438105
62,winchester,30.24287187,188.3040057,63.9330469
63,virginiabeach,31.40880503,199.8954967,102.4566793
64,exmore,26.38440492,193.1573187,91.38577291
65,williamsburg,40.57928118,213.1614907,99.44544199
66,harrisonburg,33.37883008,167.002095,38.3722067
67,newportnews,36.75188361,202.5993031,95.18571015
68,franlkin,39.00577201,214.0412088,95.86263736
69,charoltesville,26.5284188,198.0149842,67.80426204
70,norfolk,21.71788106,197.2051808,101.2642235
71,hampton,#N/A,#N/A,#N/A
72,virginiabeach,21.46914537,196.1885065,103.4258675
73,harrisonburg,29.5850157,179.146978,52.05429553
