,id,prcp_avg,tmax_avg,tmin_avg
1,richmond,22.52161243,202.4208973,83.66391022
2,norfolk,36.83308271,209.472507,109.2504685
3,richmond,27.58744808,208.7565982,78.23607038
4,richmond,30.97658537,214.3464912,92.7748538
5,middlesexcounty,30.27008547,222.8100358,96.06356312
6,richmond,32.74247337,196.8929068,77.25393883
7,richmond,26.8702111,222.6611479,95.90265487
8,richmond,36.05139186,189.0840183,85.80456621
9,richmond,28.82703214,218.1547945,95.21780822
10,richmond,26.8702111,222.6611479,95.90265487
11,richmond,28.82703214,218.1547945,95.21780822
12,suffolkcity,43.33241607,200.5459534,99.85171233
13,richmond,32.74247337,196.8929068,77.25393883
14,hopewell,33.68842472,218.0823738,86.92863436
15,richmond,27.84405824,209.6077994,92.79196877
16,richmond,31.74964235,207.4693995,93.78060046
17,charoltesville,34.46564195,191.421008,67.98051673
18,radford,23.49917709,170.4211261,35.48576762
19,williamsburg,39.46805047,214.3345441,88.98183799
20,alexandria,29.4620648,197.5229443,80.09209606
21,fredericksburg,28.83516166,192.7390294,68.94882233
22,radford,28.5822589,168.0746528,31.68935428
23,hopewell,19.99695817,207.8241415,79.66666667
24,williamsburg,28.71317829,200.4454203,86.6984625
25,harrisonburg,26.13374291,177.0323864,55.40901312
26,suffolkcity,45.79188998,210.3850291,103.5227527
27,fredericksburg,26.59858156,211.7844003,81.46612666
28,richmond,22.52161243,202.4208973,83.66391022
29,harrisonburg,32.44147157,169.3793844,40.75662133
30,pocomokecity,38.61618497,201.3635857,90.17139677
31,roanokecounty,37.06145856,180.4360626,59.5154023
32,williamsburg,42.13356164,212.0537466,98.09474931
33,winchester,23.85098407,180.455081,36.81058496
34,alexandriacity,39.26749095,185.8187276,71.25539527
35,harrisonburg,32.44147157,169.3793844,40.75662133
36,winchester,24.84605757,170.976915,49.99126485
37,emporia,39.98439242,196.9848197,71.13825758
38,lynchburg,31.45887992,195.566605,82.54537037
39,norfolk,36.83308271,209.472507,109.2504685
40,norfolk,36.83308271,209.472507,109.2504685
41,accomac,29.09239544,204.526817,106.0766917
42,norfolk,33.35652367,188.9280786,99.19240977
43,harrisonburg,31.25784157,171.8417367,50.6874562
44,lynchburg,40.94257526,191.6150403,75.70598749
45,winchester,30.58863707,172.8397963,57.87191539
46,harrisonburg,23.77259332,172.0421128,46.09841954
47,lynchburg,31.45887992,195.566605,82.54537037
48,leesburg,25.31800928,178.8227226,64.95079951
49,lynchburg,33.02709152,220.5439469,102.6392573
50,norfolk,26.57803338,195.907402,99.86236934
51,richmond,42.93733484,197.209228,80.13378995
52,reston,33.34048916,185.020011,70.30541467
53,harrisonburg,31.25784157,171.8417367,50.6874562
54,norfolk,26.57803338,195.907402,99.86236934
55,staunton,27.17087709,158.9609079,27.07468354
56,charoltesville,30.59629281,183.1327384,67.73006135
57,harrisonburg,27.90927338,171.3171233,35.92714777
58,norfolk,32.92282659,195.4471591,96.18785633
59,fredericksburg,30.38189758,192.061619,66.37464675
60,harrisonburg,26.13374291,177.0323864,55.40901312
61,norfolk,36.74844804,209.0049622,112.076177
62,winchester,35.21649821,187.6477389,68.08982647
63,virginiabeach,33.0218776,195.0809871,98.98181818
64,exmore,28.45404664,190.388203,94.05075446
65,williamsburg,34.44345898,216.1125176,97.61505982
66,harrisonburg,31.25784157,171.8417367,50.6874562
67,newportnews,44.27981651,199.6050801,92.43706819
68,franlkin,39.78918322,229.4920071,102.9697509
69,charoltesville,34.46564195,191.421008,67.98051673
70,norfolk,27.9958539,191.9259721,98.15378863
71,hampton,#N/A,#N/A,#N/A
72,virginiabeach,27.9246988,191.1127361,100.4271785
73,harrisonburg,27.90927338,171.3171233,35.92714777
