,id,prcp_avg,tmax_avg,tmin_avg
1,madison,17.87457045,26.47991392,-89.89503954
2,madison,17.87457045,26.47991392,-89.89503954
3,stevespoint,27.54019968,225.9073955,96.75129534
4,lacrosse,21.92771084,83.51870576,-29.37360406
5,riverfalls,9.435126582,-8.303571429,-108.6130952
6,viroqua,18.73161227,47.84996072,-66.04634721
7,newlondon,26.45877193,245.9007902,119.6128183
8,medford,19.81220096,107.7659574,-12.26164875
9,cornell,25.07293447,131.7059787,-0.367731368
10,lakemills,#N/A,#N/A,#N/A
11,boscobel,18.89477401,54.41169854,-50.08793687
12,waupan,18.34810127,63.62142857,-43.56235107
13,madison,11.91525424,18.80225989,-53.88700565
14,wentbend,15.61278351,44.32671082,-54.66990291
15,elkhom,21.37888199,51.49689441,-39.48136646
16,waukesha,18.10579541,82.84670008,-31.48378947
17,verona,25.58450704,212.2965404,94.29925804
18,saukcity,22.64183381,45.79509132,-51.85942857
19,madison,30.97590361,69.41566265,-26.06024096
20,dodgeville,25.97014925,200.8113208,74.85682575
21,newlondon,16.36242138,81.02109375,-33.10320563
22,tworivers,28.95911602,216.1521739,101.5852982
23,wisconsinrapids,#N/A,#N/A,#N/A
24,wausau,22.50533175,136.7930348,6.462612164
25,madison,26.36516854,35.03932584,-47.19662921
26,saukcity,18.83887468,36.74365482,-63.98738966
27,utica,18.11897106,84.37173913,-33.43677326
28,sturgeonbay,32.94221509,244.8559871,122.7520392
29,barron,#N/A,#N/A,#N/A
30,wetboro,26.45014808,111.9624506,-7.300395257
31,ithica,15.01493466,31.41152922,-77.60866079
32,beloit,15.44004171,59.9425,-38.97
33,dodgeville,8.333067729,53.90864799,-61.84671533
34,jefferson,15.75068493,25.375,-69.91492865
35,union,12.8115869,33.53436989,-78.24123539
36,albany,19.30895009,36.97590361,-63.75388601
37,oshkosh,20.32267442,30.25909753,-70.25693431
38,spirit,16.29095675,40.50962773,-74.82087629
39,madison,19.37444089,93.52277819,-6.538116592
