sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length(cm),width(cm),preimeter(cm),area(cm),state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp(in),max_temp C,min_temp C,avg_temp C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp(6monthsprior),avg_tmax_previous_ year,avg_tmin_previous_ year,tavg_previous_ year,avg_tmax_ year_DOC,avg_tmin_ year_DOC,tavg_ year_DOC,avgprecp(6monthsprior),avg_precp_previous_year,avg_precp_year_DOC
1,CBP_1_ACU_Tex,,,,,3.11,0.87,11.73,1.06,TX,South,Callahan,Callahan,"Callahan, Texas",32.24,-99.57,610.00,March,31,2019,0.00,14.43,0.85,7.64,17.07,4.48,10.77,24.87,11.57,18.22,25.00,11.14,18.07,3.25,2.95,2.32
2,CBP_1_ADSM_ARIZ,3.244615827,0.458480373,Type3,simplex,3.46,1.09,7.66,7.64,AZ,Southwest,tucson,tucson3,Pima County_Arizona_Tuscon,32.00,-110.95,728.00,March,5,1993,0.00,17.72,3.63,10.68,19.99,5.00,12.50,26.37,10.48,18.42,26.70,10.66,18.68,20.12,17.47,15.08
3,CBP_1_ALB_MICH,4.003027241,0.356479577,Type1a2,simplex,4.71,1.00,10.20,10.17,MI,Upper_Midwest,N/A,N/A,"Lowell, Kent County, Michigan",42.97,-85.32,301.00,August,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,CBP_1_amich_MICH,5.561771613,0.246668664,Type1a2,simplex,6.33,0.98,16.52,16.44,MI,Upper_Midwest,Hart,Hart," Hart, Oceana County, Michigan",43.57,-86.45,969.00,May,26,2003,0.00,21.00,7.12,14.06,6.13,-2.23,1.95,15.75,5.21,10.48,13.62,2.32,7.97,2.47,2.21,2.16
5,CBP_1_ARIZ_ALA,2.69612803,0.345637841,Type6,simplex,7.00,2.58,21.08,20.83,AL,Southeast,andalusia,andalusia1,"Andalusia, Covington County, Alabama",31.41,-86.61,108.00,December,30,2017,0.10,15.72,2.09,8.91,27.67,16.86,22.27,26.52,15.27,20.89,26.54,15.31,20.92,4.81,5.69,5.70
6,CBP_1_ARIZ_ARIZ,4.275656306,0.294659394,Type3,simplex,3.92,0.70,10.43,10.12,AZ,Southwest,tucson,tucson1,Santa Cruz County_Arizona_Tuscon,31.70,-110.85,2524.00,April,4,2018,0.00,26.99,7.94,17.47,20.90,4.86,12.88,26.94,10.56,18.75,25.94,9.84,17.89,5.91,7.89,12.52
7,CBP_1_ARIZ_ARIZ,3.038636609,0.172153961,Type3,simplex,2.89,0.70,10.96,10.50,AZ,Southwest,tucson,tucson2,Santa Cruz County_Arizona_Tuscon,31.70,-110.85,2524.00,April,4,2018,0.00,26.99,7.94,17.47,20.90,4.86,12.88,26.94,10.56,18.75,25.94,9.84,17.89,5.91,7.89,12.52
8,CBP_1_ASC_OHIO,2.398026657,0.152142984,Type3,simplex,2.47,0.95,10.63,9.95,OH,Ohio_Valley,stclairsville,stclairsville,"St. Clairsville, Belmont County, Ohio",40.11,-80.84,301.00,April,29,1979,0.20,11.55,2.23,6.89,7.61,-3.62,1.99,16.00,4.54,10.27,15.71,4.12,9.91,2.85,3.12,3.12
9,CBP_1_ASU_ARIZ,3.693258,0.445858536,Type3,simplex,5.05,1.30,11.00,10.97,AZ,Southwest,crownking,crownking,Yavapai County_Arizona_Crown King,34.23,-112.32,1415.00,December,31,2002,0.00,12.83,-0.59,6.12,25.95,11.43,18.69,24.42,8.95,16.69,24.46,8.97,16.71,8.27,4.60,4.59
10,CBP_1_BALT_MARY,1.995966748,0.137078795,Type6,simplex,3.53,1.21,16.93,16.40,MD,Northeast,phoenix,phoenix,Baltimore County_Maryland_Phoenix,39.52,-76.62,167.00,April,29,1981,45.80,109.75,21.73,65.74,10.30,-1.47,4.41,18.82,6.31,12.57,18.72,9.05,13.89,1.93,2.25,3.32
11,CBP_1_BHSU_MON,3.016406899,0.340364938,Type6,simplex,2.33,2.11,7.00,6.67,NE,Northern_Rockies_and_Plains,glasgow,,Valley County_Montana_Glasgow,48.20,-106.62,637.00,May,10,2011,30.32,10.28,5.08,7.68,-0.79,-11.05,-5.92,11.04,-1.38,4.83,12.81,-0.07,6.37,1.28,1.59,1.96
12,CBP_1_BOON_INDI,2.224705529,0.240148394,Type6,simplex,5.81,2.19,18.40,18.31,IN,Ohio_Valley,bedford,bedford1,"Bedford, Lawrence County, Indiana",38.87,-86.51,209.00,May,4,1951,0.85,27.09,9.81,18.45,9.07,-2.37,3.35,17.89,5.41,11.65,18.51,5.73,12.12,3.30,3.51,3.32
13,CBP_1_BRIT_OKLA,2.164947233,0.107108697,Type3,simplex,5.05,1.19,26.86,26.05,OK,South,summers,summers,"Summers, Adair County, Oklahoma",36.40,-97.88,363.00,April,22,1958,0.53,21.84,4.93,13.39,12.05,0.37,6.21,20.89,8.59,14.74,21.60,8.67,15.14,1.33,3.11,1.80
