,sample_number,sample_name,aspect_ratio,circularity,type_ianetta,type_shull,length,width,preimeter,area,state,climate_region,id,id2,city_county_state,latitude,longitude,elevation,month,day,year,precp_in,max_temp_C,min_temp_C,avg_temp_C,avg_tmax_six_months_prior,avg_tmin_six_months_prior,avgtemp_6monthsprior,avg_tmax_previous_.year,avg_tmin_previous_.year,tavg_previous_.year,avg_tmax_.year_DOC,avg_tmin_.year_DOC,tavg_.year_DOC,avgprecp_6monthsprior,avg_precp_previous_year,avg_precp_year_DOC
1,199,CBP_14_BRIT_Tex,1.937826881,0.761057573,Type3,rhomboidea,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198,March ,11,1979,0,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.2,18.43,0.0416,0.0324,0.0375
2,200,CBP_14_BRIT_Tex,1.937826881,0.761057573,Type3,heteris,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198,March ,11,1979,0,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.2,18.43,0.0416,0.0324,0.0375
3,332,CBP_3_HAR_WAS,2.834468365,0.660620281,Type3,rhomboidea,2.74,0.89,5.84,5.84,WA,Northwest,,,Washington,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,431,CBP_5_FLAS_FLOR,2.745987872,0.605709733,Type3,rhomboidea,2.44,0.8,5.57,5.56,FL,Southeast,homestead,homestead4,"Homestead, Dade County, Florida",25.57,-80.67,1,November,2,1997,0.003,31.05,23.1,27.17,31.99,23.36,27.68,29.77,20.17,24.97,29.64,20.33,24.98,0.0707,0.0433,0.0487
5,337,CBP_3_MICH_MICH,2.929709414,0.600620954,Type1a1,rhomboidea,5.3,1.75,11.45,11.46,MI,Upper_Midwest,,,"Grayling, Crawford County, Michigan",44.66,-84.71,346,,#N/A,1887,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,202,CBP_14_BRIT_Tex,2.585333151,0.596447972,Type3,heteris,2.79,0.51,7.06,6.88,TX,South,FortWorth,FortWorth12,"Fort Worth, Texas",32.73,-97.32,198,March ,11,1979,0,20.12,3.32,11.72,4.16,29.51,16.96,24.72,12.06,18.39,24.67,12.2,18.43,0.0416,0.0324,0.0375
7,445,CBP_5_SAT_Tex,2.457958085,0.595741174,Type1a1,heteris,6.72,2.3,22.38,22.95,TX,South,Waco,Waco4,"Waco, Texas",31.55,-97.15,142,March ,21,1990,0,20.86,5.66,13.26,19.88,6.23,13.06,25.33,12.58,18.96,25.96,13.31,19.63,0.0206,0.0267,0.0276
8,251,CBP_2_EUH_GEOR,2.655326482,0.594996464,Type3,rhomboidea,4.59,1.65,11.04,10.96,GA,Southeast,milledgeville,milledgeville,"Milledgeville, Baldwin County, Georgia",33.08,-83.23,101,April,3,1937,0,26.4,7.5,16.95,17.25,6.34,11.8,24.85,13.13,18.99,23.77,12.17,17.97,0.0342,0.0305,0.0314
9,117,CBP_1_SAT_Tex,3.426300213,0.592867949,Type6,heteris,4.3,1.25,10.01,9.8,TX,South,Waco,Waco1,"Waco, Texas",31.55,-97.15,142,February,15,1982,0,20.46,8.76,14.61,20.98,7.95,14.46,25.25,12.71,18.98,25.49,12.89,19.19,0.0211,0.0246,0.0197
10,471,CBP_6_SAT_Tex,3.187555726,0.589037497,Type1a2,heteris,6.18,1.26,11.87,11.86,TX,South,Houston,Houston2,"Houston, Texas",29.76,-95.36,11,April,4,1990,0,24.26,12.7,18.48,19.92,9.58,14.75,25.72,15.56,20.64,26.65,16.1,21.37,0.0289,0.0377,0.0277
